Timestamp;Frame;RULA_C;Score_A_R;Score_A_L;Score_B;Trunk_Sag;Neck_Sag;UA_Sag_R;LA_Ang_R;UA_Sag_L;LA_Ang_L;Trunk_Fro;Neck_Fro;UA_Fro_R;UA_Fro_L;Wr_Flex_R;Wr_Dev_R;Wr_Flex_L;Wr_Dev_L;Nose_X;Nose_Y;Nose_Z;L_Eye_In_X;L_Eye_In_Y;L_Eye_In_Z;L_Eye_X;L_Eye_Y;L_Eye_Z;L_Eye_Out_X;L_Eye_Out_Y;L_Eye_Out_Z;R_Eye_In_X;R_Eye_In_Y;R_Eye_In_Z;R_Eye_X;R_Eye_Y;R_Eye_Z;R_Eye_Out_X;R_Eye_Out_Y;R_Eye_Out_Z;L_Ear_X;L_Ear_Y;L_Ear_Z;R_Ear_X;R_Ear_Y;R_Ear_Z;Mouth_L_X;Mouth_L_Y;Mouth_L_Z;Mouth_R_X;Mouth_R_Y;Mouth_R_Z;L_Shoulder_X;L_Shoulder_Y;L_Shoulder_Z;R_Shoulder_X;R_Shoulder_Y;R_Shoulder_Z;L_Elbow_X;L_Elbow_Y;L_Elbow_Z;R_Elbow_X;R_Elbow_Y;R_Elbow_Z;L_Wrist_X;L_Wrist_Y;L_Wrist_Z;R_Wrist_X;R_Wrist_Y;R_Wrist_Z;L_Pinky_X;L_Pinky_Y;L_Pinky_Z;R_Pinky_X;R_Pinky_Y;R_Pinky_Z;L_Index_X;L_Index_Y;L_Index_Z;R_Index_X;R_Index_Y;R_Index_Z;L_Thumb_X;L_Thumb_Y;L_Thumb_Z;R_Thumb_X;R_Thumb_Y;R_Thumb_Z;L_Hip_X;L_Hip_Y;L_Hip_Z;R_Hip_X;R_Hip_Y;R_Hip_Z;L_Knee_X;L_Knee_Y;L_Knee_Z;R_Knee_X;R_Knee_Y;R_Knee_Z;L_Ankle_X;L_Ankle_Y;L_Ankle_Z;R_Ankle_X;R_Ankle_Y;R_Ankle_Z;L_Heel_X;L_Heel_Y;L_Heel_Z;R_Heel_X;R_Heel_Y;R_Heel_Z;L_Foot_In_X;L_Foot_In_Y;L_Foot_In_Z;R_Foot_In_X;R_Foot_In_Y;R_Foot_In_Z
00:00:00.000;1;4;3;5;1;0,489957;0,695246;13,748195;73,719392;-27,488116;168,559020;-14,639312;-19,576168;4,875777;29,625797;-24,547005;26,219595;19,336040;-80,428904;0,096919;-0,053268;0,455000;0,104693;-0,061320;0,459900;0,107180;-0,060710;0,460950;0,109844;-0,059436;0,462700;0,095063;-0,066099;0,456750;0,089796;-0,069017;0,456400;0,085315;-0,072592;0,460250;0,104693;-0,056833;0,459900;0,075572;-0,074800;0,474250;0,095735;-0,042713;0,452900;0,083795;-0,048942;0,456050;0,084137;-0,022181;0,470400;0,030643;-0,024077;0,448700;0,106304;0,052740;0,506800;0,031295;0,066585;0,409500;0,101415;-0,019976;0,472500;0,104768;0,074662;0,370300;0,095366;-0,037703;0,454650;0,118943;0,076829;0,350000;0,095735;-0,042713;0,452900;0,124385;0,068724;0,349300;0,095282;-0,038708;0,457800;0,120946;0,066808;0,354200;0,041595;0,083190;0,399700;0,013512;0,101338;0,461650;0,101959;0,098616;0,342650;0,124731;0,156115;0,494900;0,017621;0,030740;0,079100;0,015470;0,030060;0,077350;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,021608;0,030740;0,079100;0,020928;0,030876;0,079450
00:00:00.053;2;4;3;5;1;-0,755158;-0,407682;13,151354;73,394753;-27,022262;170,307702;-14,687763;-19,450215;4,085803;24,768635;-22,726814;-26,147934;20,559977;86,015080;0,160806;-0,087975;0,751450;0,172743;-0,101178;0,758835;0,176847;-0,100172;0,760568;0,181243;-0,098070;0,763455;0,156782;-0,109012;0,753288;0,148766;-0,113772;0,752360;0,141518;-0,119777;0,759413;0,172663;-0,093731;0,758485;0,125577;-0,125076;0,783213;0,158185;-0,070575;0,748335;0,139810;-0,080050;0,752833;0,141755;-0,037330;0,775460;0,049761;-0,039670;0,739305;0,169618;0,090670;0,832020;0,051744;0,110094;0,677075;0,165872;-0,032206;0,779975;0,172570;0,123581;0,609945;0,157794;-0,060898;0,752273;0,196256;0,127337;0,577500;0,158185;-0,069837;0,748335;0,205110;0,113893;0,575995;0,157215;-0,062380;0,755370;0,199561;0,110234;0,584430;0,069931;0,136613;0,659505;0,024971;0,168153;0,752623;0,168025;0,156955;0,564673;0,173563;0,209563;0,664335;0,029124;0,050584;0,130165;0,030338;0,050414;0,129728;0,000000;0,000000;0,000000;0,017287;0,030604;0,078750;0,035781;0,050720;0,130515;0,039620;0,050401;0,129693
00:00:00.097;3;4;3;5;2;-7,159656;-0,333400;12,107850;73,409713;-26,297484;171,773813;-16,978050;-19,618926;3,452930;21,453403;-21,163350;-26,146587;21,226269;85,521420;0,203815;-0,110534;0,944143;0,218552;-0,127132;0,953493;0,223713;-0,125869;0,955669;0,228321;-0,123888;0,958596;0,198383;-0,136906;0,946037;0,189605;-0,143074;0,946134;0,179959;-0,150171;0,952118;0,217511;-0,117672;0,952215;0,159337;-0,157473;0,982288;0,199590;-0,088718;0,940718;0,178177;-0,100122;0,944341;0,181432;-0,047160;0,973399;0,061324;-0,049693;0,926098;0,208517;0,116596;1,040263;0,064472;0,138601;0,852399;0,206926;-0,040141;0,979484;0,216344;0,155764;0,764664;0,198445;-0,076003;0,946077;0,246059;0,160245;0,725725;0,198851;-0,087500;0,940718;0,257015;0,143253;0,723347;0,197399;-0,077738;0,948441;0,249847;0,138903;0,733380;0,090143;0,171049;0,826978;0,031666;0,202548;0,884705;0,213058;0,193581;0,710387;0,208673;0,246087;0,776568;0,037580;0,063620;0,163707;0,041070;0,063509;0,163423;0,015540;0,030196;0,077700;0,029757;0,050632;0,130288;0,046435;0,063572;0,163585;0,051770;0,063092;0,162350
00:00:00.139;4;4;3;5;2;-9,333705;-0,634594;11,320884;73,498084;-26,047812;172,830934;-17,614587;-19,317321;3,068831;19,636157;-20,413132;-25,555151;21,598757;83,724646;0,231770;-0,125938;1,069393;0,248166;-0,145404;1,079320;0,254010;-0,143228;1,081785;0,258671;-0,141284;1,084387;0,226166;-0,156521;1,071324;0,216007;-0,163499;1,071387;0,204878;-0,170617;1,077027;0,247409;-0,133980;1,078140;0,181339;-0,180127;1,112037;0,227317;-0,101284;1,066117;0,203923;-0,113206;1,069172;0,208748;-0,053549;1,102059;0,068748;-0,056133;1,046114;0,233802;0,133447;1,175621;0,072746;0,157132;0,966359;0,233685;-0,045313;1,109514;0,243796;0,176826;0,865932;0,224199;-0,085849;1,072400;0,277979;0,181142;0,822421;0,225432;-0,099045;1,066467;0,289986;0,162545;0,820175;0,223446;-0,087692;1,073586;0,282195;0,157672;0,830897;0,104495;0,193288;0,935136;0,038238;0,226472;0,977208;0,244517;0,217193;0,808602;0,235199;0,270832;0,852669;0,043077;0,072092;0,185510;0,047918;0,072021;0,185325;0,025515;0,049823;0,128205;0,037735;0,063651;0,163787;0,053001;0,071789;0,184730;0,059667;0,071342;0,183578
00:00:00.188;5;4;3;5;2;-12,277161;-1,401448;11,021331;73,691857;-26,154724;173,317588;-18,448801;-19,288777;2,959757;18,402528;-20,747688;-25,389912;22,090202;82,867437;0,250759;-0,136734;1,151155;0,268163;-0,158775;1,161108;0,273621;-0,155962;1,163410;0,279232;-0,154139;1,166502;0,244150;-0,169961;1,152411;0,233027;-0,177408;1,152102;0,221143;-0,185454;1,158567;0,266842;-0,145327;1,159991;0,195698;-0,196451;1,196724;0,245339;-0,109451;1,147626;0,220794;-0,121784;1,151012;0,226165;-0,059898;1,183939;0,073574;-0,060319;1,124124;0,250099;0,144320;1,262904;0,077402;0,169062;1,039734;0,251079;-0,048675;1,194034;0,261737;0,190588;0,932106;0,240865;-0,092221;1,154160;0,298727;0,194725;0,885274;0,242710;-0,106550;1,148203;0,311295;0,175016;0,882764;0,240376;-0,093419;1,154931;0,303221;0,169871;0,894283;0,113823;0,207097;1,005438;0,042256;0,236697;1,017385;0,267931;0,230093;0,878391;0,252203;0,283132;0,895485;0,046521;0,077600;0,199681;0,052626;0,077553;0,199561;0,031803;0,062444;0,160683;0,043048;0,072113;0,185561;0,057345;0,077403;0,199175;0,066069;0,076704;0,197375
00:00:00.228;6;4;3;5;2;-13,954639;-1,839315;10,999334;73,866710;-26,294206;173,296991;-18,800798;-19,280261;3,149382;17,979982;-21,153147;25,411461;23,062145;84,962201;0,263102;-0,143751;1,204301;0,281079;-0,167417;1,213920;0,287116;-0,164987;1,216467;0,292597;-0,162494;1,219876;0,255691;-0,178592;1,204417;0,244687;-0,186340;1,203866;0,232258;-0,194927;1,210519;0,279393;-0,153404;1,212844;0,205031;-0,207062;1,251771;0,256979;-0,115465;1,200257;0,232297;-0,127249;1,203158;0,236658;-0,064005;1,236810;0,077457;-0,063058;1,175181;0,260693;0,150576;1,319637;0,080377;0,176704;1,086727;0,262458;-0,050875;1,249322;0,273301;0,199462;0,974769;0,252369;-0,095593;1,206954;0,312095;0,203478;0,925778;0,253792;-0,111364;1,200632;0,324900;0,182983;0,922747;0,251308;-0,096371;1,207455;0,316770;0,177734;0,935134;0,119887;0,216072;1,051135;0,045472;0,245125;1,043150;0,288540;0,235205;0,924454;0,268690;0,288794;0,930315;0,050133;0,081316;0,209243;0,055557;0,081149;0,208815;0,037117;0,071056;0,182844;0,046036;0,077477;0,199365;0,060168;0,081051;0,208563;0,070231;0,080189;0,206344
00:00:00.268;7;4;3;5;2;-14,530625;-2,244152;11,022918;73,865924;-26,847376;173,211958;-18,474606;-19,052595;2,972432;17,649383;-21,533294;25,619017;23,137078;86,424230;0,271125;-0,149796;1,238846;0,289393;-0,174478;1,247898;0,294975;-0,172251;1,250253;0,301116;-0,170079;1,253869;0,263118;-0,185630;1,237871;0,251384;-0,193513;1,236813;0,238537;-0,202398;1,243237;0,287471;-0,160846;1,246849;0,210100;-0,214493;1,286151;0,264545;-0,120113;1,234467;0,238966;-0,132243;1,236702;0,243076;-0,066563;1,269077;0,079257;-0,065562;1,208367;0,267441;0,154563;1,355814;0,082311;0,181670;1,117272;0,269560;-0,052247;1,283860;0,280916;0,205301;1,002850;0,258957;-0,097729;1,240570;0,320566;0,209397;0,953156;0,260184;-0,114460;1,234361;0,333298;0,188231;0,949085;0,258268;-0,098236;1,240896;0,325355;0,183045;0,962737;0,123828;0,221260;1,080838;0,047827;0,253831;1,065498;0,301473;0,239763;0,954745;0,276776;0,292088;0,949805;0,052481;0,083731;0,215458;0,057170;0,083623;0,215180;0,040571;0,076654;0,197249;0,047594;0,080964;0,208337;0,063695;0,083287;0,214316;0,072936;0,082454;0,212174
00:00:00.307;8;4;3;5;2;-15,051006;-3,157581;10,937496;74,097340;-27,299062;173,549768;-18,324839;-18,438669;2,776978;17,420310;-21,625754;-25,976351;22,938323;83,032476;0,275598;-0,154466;1,261300;0,294052;-0,180559;1,269984;0,300083;-0,178467;1,272215;0,305820;-0,176458;1,275615;0,266466;-0,191684;1,259616;0,254190;-0,199597;1,257878;0,241200;-0,208798;1,264854;0,292802;-0,167222;1,269302;0,212081;-0,221101;1,309898;0,269537;-0,123908;1,257054;0,242494;-0,136189;1,258157;0,247936;-0,068206;1,289700;0,079683;-0,067170;1,229589;0,272706;0,158005;1,379679;0,082900;0,185567;1,137127;0,273337;-0,053125;1,305959;0,285865;0,209097;1,021102;0,262282;-0,099036;1,261371;0,326190;0,213321;0,971301;0,264338;-0,116472;1,256285;0,338757;0,191642;0,966205;0,261833;-0,099365;1,261582;0,330699;0,186363;0,979979;0,125704;0,227145;1,099795;0,048552;0,259799;1,076174;0,307333;0,244138;0,975484;0,285211;0,298675;0,977173;0,052634;0,085165;0,219148;0,057868;0,085094;0,218967;0,041279;0,080021;0,205912;0,048479;0,083230;0,214169;0,064706;0,084740;0,218056;0,074694;0,083927;0,215963
00:00:00.348;9;4;3;5;2;-15,632478;-4,334418;11,183591;74,158002;-28,110494;173,516907;-17,967502;-17,990986;2,590274;17,031633;-21,780833;26,065127;23,509800;-80,206032;0,278658;-0,157590;1,276595;0,296999;-0,184461;1,283990;0,302574;-0,182457;1,286140;0,308961;-0,180655;1,290100;0,268642;-0,195619;1,273751;0,256013;-0,203551;1,271571;0,242733;-0,212780;1,277855;0,295360;-0,172016;1,283196;0,212542;-0,224565;1,324984;0,272043;-0,126375;1,271735;0,244653;-0,138677;1,271402;0,250622;-0,069895;1,300655;0,080004;-0,068254;1,244083;0,275990;0,160161;1,394492;0,083233;0,187985;1,149333;0,275719;-0,053682;1,319973;0,289180;0,211636;1,033317;0,262820;-0,099831;1,274191;0,329963;0,215949;0,983446;0,265418;-0,117715;1,269835;0,342550;0,193998;0,978034;0,263268;-0,100045;1,274329;0,334173;0,188521;0,991186;0,126923;0,227740;1,112117;0,049664;0,263140;1,083463;0,311361;0,247156;0,989665;0,291968;0,302476;0,995313;0,053073;0,086233;0,221896;0,058707;0,086051;0,221428;0,042119;0,082209;0,211543;0,049518;0,084839;0,218310;0,065748;0,085685;0,220486;0,075837;0,084884;0,218426
00:00:00.393;10;4;3;5;2;-16,383555;-4,386701;11,543930;74,116406;-29,018891;173,573421;-17,618275;-17,508059;2,451029;16,935329;-21,284195;-27,181085;23,359563;77,799935;0,280800;-0,159708;1,287237;0,297264;-0,187639;1,292393;0,302538;-0,185695;1,294491;0,308427;-0,183930;1,298115;0,270056;-0,198177;1,282938;0,257199;-0,206121;1,280471;0,243598;-0,215250;1,285606;0,294553;-0,175730;1,291178;0,212456;-0,226399;1,332340;0,272933;-0,128718;1,281278;0,245990;-0,140256;1,279661;0,251481;-0,070954;1,307076;0,080279;-0,069016;1,254554;0,278332;0,161684;1,405170;0,083449;0,189556;1,157266;0,276357;-0,053250;1,328383;0,291237;0,213215;1,040906;0,261553;-0,099556;1,281824;0,332649;0,217811;0,992040;0,264503;-0,118459;1,277943;0,345461;0,195460;0,985372;0,262582;-0,100432;1,281914;0,336667;0,190056;0,999171;0,127715;0,226189;1,120126;0,050925;0,264882;1,086451;0,314447;0,249031;0,998532;0,292393;0,290536;0,980853;0,054005;0,086927;0,223682;0,060411;0,086673;0,223028;0,043495;0,083768;0,215553;0,051435;0,086021;0,221351;0,066425;0,086299;0,222066;0,076580;0,085506;0,220027
