Timestamp;Frame;RULA_C;Score_A_R;Score_A_L;Score_B;Trunk_Sag;Neck_Sag;UA_Sag_R;LA_Ang_R;UA_Sag_L;LA_Ang_L;Trunk_Fro;Neck_Fro;UA_Fro_R;UA_Fro_L;Wr_Flex_R;Wr_Dev_R;Wr_Flex_L;Wr_Dev_L;Nose_X;Nose_Y;Nose_Z;L_Eye_In_X;L_Eye_In_Y;L_Eye_In_Z;L_Eye_X;L_Eye_Y;L_Eye_Z;L_Eye_Out_X;L_Eye_Out_Y;L_Eye_Out_Z;R_Eye_In_X;R_Eye_In_Y;R_Eye_In_Z;R_Eye_X;R_Eye_Y;R_Eye_Z;R_Eye_Out_X;R_Eye_Out_Y;R_Eye_Out_Z;L_Ear_X;L_Ear_Y;L_Ear_Z;R_Ear_X;R_Ear_Y;R_Ear_Z;Mouth_L_X;Mouth_L_Y;Mouth_L_Z;Mouth_R_X;Mouth_R_Y;Mouth_R_Z;L_Shoulder_X;L_Shoulder_Y;L_Shoulder_Z;R_Shoulder_X;R_Shoulder_Y;R_Shoulder_Z;L_Elbow_X;L_Elbow_Y;L_Elbow_Z;R_Elbow_X;R_Elbow_Y;R_Elbow_Z;L_Wrist_X;L_Wrist_Y;L_Wrist_Z;R_Wrist_X;R_Wrist_Y;R_Wrist_Z;L_Pinky_X;L_Pinky_Y;L_Pinky_Z;R_Pinky_X;R_Pinky_Y;R_Pinky_Z;L_Index_X;L_Index_Y;L_Index_Z;R_Index_X;R_Index_Y;R_Index_Z;L_Thumb_X;L_Thumb_Y;L_Thumb_Z;R_Thumb_X;R_Thumb_Y;R_Thumb_Z;L_Hip_X;L_Hip_Y;L_Hip_Z;R_Hip_X;R_Hip_Y;R_Hip_Z;L_Knee_X;L_Knee_Y;L_Knee_Z;R_Knee_X;R_Knee_Y;R_Knee_Z;L_Ankle_X;L_Ankle_Y;L_Ankle_Z;R_Ankle_X;R_Ankle_Y;R_Ankle_Z;L_Heel_X;L_Heel_Y;L_Heel_Z;R_Heel_X;R_Heel_Y;R_Heel_Z;L_Foot_In_X;L_Foot_In_Y;L_Foot_In_Z;R_Foot_In_X;R_Foot_In_Y;R_Foot_In_Z
00:00:00.000;1;3;3;3;2;7,560937;-1,274293;-3,733694;34,247332;-14,533511;60,741262;-0,760325;5,430416;19,633189;-4,447434;7,380417;24,355436;-52,438738;-65,221914;0,054145;0,187551;1,077418;0,053131;0,196905;1,079570;0,055500;0,197346;1,081987;0,058559;0,200113;1,097158;0,041609;0,196626;1,071931;0,035967;0,196245;1,069852;0,030388;0,196137;1,069262;0,050730;0,191827;1,076272;0,014888;0,191401;1,073883;0,056673;0,176121;1,082907;0,044967;0,174388;1,072257;0,047117;0,122450;1,096349;-0,008454;0,129485;1,060596;0,053910;0,031699;1,072744;-0,032034;0,040405;1,038513;0,086475;-0,042537;1,149800;-0,002844;-0,041148;1,025784;0,098030;-0,067368;1,145132;-0,003900;-0,067632;1,023055;0,098081;-0,068594;1,145726;0,009906;-0,068542;1,020767;0,091968;-0,058963;1,143781;0,015381;-0,059644;1,032092;0,048539;-0,049936;1,077319;0,011157;-0,044895;1,038427;0,036107;-0,173522;1,108302;-0,006357;-0,177895;1,078910;0,034982;-0,286912;1,146989;-0,016403;-0,302609;1,075616;0,016056;-0,311391;1,158197;-0,026320;-0,316483;1,069589;0,079929;-0,321195;1,141680;0,025119;-0,323588;1,035388
00:00:00.033;2;3;3;3;2;8,856958;-1,873907;-2,979992;33,222726;-15,701391;61,570477;-1,877053;5,990500;19,359589;-5,730281;-4,582549;-23,523474;-47,687503;-65,821214;0,088072;0,307819;1,774738;0,086363;0,324212;1,777556;0,091513;0,325403;1,784083;0,100361;0,342960;1,880345;0,068594;0,323031;1,767110;0,059304;0,322465;1,764011;0,050117;0,322360;1,763438;0,083591;0,314966;1,773422;0,024578;0,315985;1,772873;0,093445;0,290395;1,785542;0,073034;0,287556;1,768085;0,079088;0,202564;1,813644;-0,015058;0,213721;1,750563;0,090074;0,052307;1,770160;-0,053988;0,065652;1,715201;0,142351;-0,068831;1,892756;-0,007892;-0,068960;1,692520;0,161679;-0,111108;1,888646;-0,008569;-0,111657;1,689013;0,161712;-0,111905;1,889032;0,015282;-0,113085;1,684131;0,151754;-0,097294;1,887317;0,023151;-0,099110;1,696553;0,079707;-0,082000;1,769063;0,018379;-0,073956;1,710626;0,059470;-0,285798;1,825415;-0,011609;-0,294603;1,779928;0,057651;-0,472833;1,890248;-0,027095;-0,499872;1,776783;0,027625;-0,511294;1,906180;-0,042302;-0,522023;1,764233;0,134552;-0,531125;1,887869;0,042534;-0,534050;1,708805
00:00:00.066;3;3;3;3;2;9,197638;-1,889907;-2,689861;32,605563;-16,357341;63,256144;-2,511282;6,758610;19,345549;-6,999565;-4,504282;22,949067;-49,053868;-65,609191;0,108989;0,385931;2,227634;0,107983;0,405912;2,231628;0,113753;0,407352;2,239541;0,122022;0,419708;2,307315;0,085029;0,405231;2,219177;0,073379;0,404606;2,215753;0,061853;0,404567;2,215540;0,104963;0,393940;2,226856;0,030884;0,395938;2,227736;0,116108;0,364314;2,240046;0,090159;0,361097;2,220264;0,102275;0,254918;2,282383;-0,019345;0,268403;2,198459;0,114696;0,065702;2,223480;-0,068228;0,082025;2,154088;0,178888;-0,084833;2,378565;-0,012236;-0,087014;2,125310;0,203115;-0,138392;2,372671;-0,013731;-0,140263;2,121733;0,203136;-0,138911;2,372922;0,016650;-0,141992;2,114636;0,190819;-0,121148;2,373163;0,027124;-0,124709;2,127539;0,099951;-0,101717;2,218390;0,023088;-0,092903;2,148888;0,075888;-0,359164;2,294016;-0,015017;-0,371466;2,234877;0,072349;-0,593380;2,372164;-0,032932;-0,627104;2,233009;0,036320;-0,639620;2,390828;-0,050425;-0,655043;2,213791;0,170225;-0,667040;2,375221;0,053922;-0,671693;2,149226
00:00:00.100;4;3;3;3;2;9,207765;-2,039215;-2,206192;32,372591;-16,887039;64,761079;-2,787225;7,291566;19,159702;-7,969802;-5,096280;22,593873;50,746477;-52,638160;0,122544;0,436555;2,521162;0,121980;0,458807;2,525613;0,128124;0,460314;2,533906;0,135976;0,469158;2,582442;0,095686;0,458536;2,512332;0,082501;0,457846;2,508553;0,069458;0,457836;2,508501;0,118808;0,445096;2,520580;0,034966;0,447698;2,522210;0,130839;0,411238;2,535467;0,101265;0,408795;2,513544;0,117362;0,288987;2,587421;-0,022119;0,303779;2,488223;0,130636;0,074373;2,516913;-0,077467;0,091568;2,438827;0,202730;-0,095276;2,695573;-0,015063;-0,098767;2,407069;0,228857;-0,156127;2,687279;-0,018161;-0,159994;2,404076;0,230139;-0,156516;2,688353;0,017536;-0,161812;2,394007;0,216273;-0,136691;2,689720;0,029702;-0,142391;2,407306;0,113209;-0,114632;2,512640;0,026138;-0,105175;2,432733;0,086467;-0,406422;2,595851;-0,017239;-0,421560;2,531393;0,083037;-0,671302;2,683671;-0,036725;-0,709793;2,529516;0,041951;-0,722705;2,704622;-0,055709;-0,741573;2,506227;0,194782;-0,756061;2,694410;0,062860;-0,766575;2,452820
00:00:00.133;5;3;3;3;2;9,067480;-5,678905;-0,909912;35,314886;-16,031548;65,566706;-2,216137;2,654752;20,105053;-6,319089;3,325872;-20,675502;60,231295;22,622255;0,138516;0,453084;2,700222;0,139103;0,475933;2,700471;0,144220;0,476976;2,706244;0,149323;0,482725;2,737793;0,116016;0,480019;2,703967;0,104024;0,481501;2,699787;0,091045;0,482389;2,698497;0,127626;0,469887;2,707658;0,049734;0,476812;2,706849;0,140842;0,427399;2,714210;0,113060;0,429098;2,706989;0,123302;0,305481;2,775841;-0,029378;0,324139;2,672972;0,138795;0,080024;2,708164;-0,096411;0,096674;2,623452;0,231271;-0,077952;2,886816;-0,025437;-0,105355;2,590583;0,266023;-0,136055;2,870813;-0,025277;-0,170554;2,585557;0,271847;-0,134908;2,863719;0,011751;-0,170355;2,574056;0,253235;-0,115256;2,873068;0,021783;-0,150489;2,585630;0,119549;-0,122972;2,702708;0,023782;-0,112961;2,612830;0,095826;-0,437951;2,797232;-0,019766;-0,453329;2,719386;0,091155;-0,720640;2,885653;-0,039178;-0,763306;2,721407;0,046756;-0,773505;2,905518;-0,059143;-0,797798;2,696245;0,209337;-0,814296;2,898949;0,067071;-0,823143;2,630375
00:00:00.166;6;4;2;6;2;8,577377;-11,655279;-0,228505;40,508162;82,332150;165,117559;-3,637218;-2,690276;23,342640;80,493740;1,296538;15,543189;-59,201360;42,416006;0,190491;0,455108;2,824692;0,192480;0,478942;2,818425;0,195885;0,478647;2,823007;0,200259;0,483407;2,842994;0,171888;0,482600;2,820053;0,160669;0,485569;2,816078;0,147874;0,487357;2,815900;0,173970;0,476126;2,823143;0,103933;0,487368;2,829941;0,187055;0,430494;2,840678;0,160957;0,433474;2,833468;0,172515;0,314027;2,910159;-0,012104;0,336995;2,799102;0,393547;0,142495;4,529937;-0,098028;0,103344;2,746328;0,344075;-0,067254;2,970417;-0,023697;-0,092743;2,717290;0,382306;-0,119264;2,941045;-0,016075;-0,159437;2,705595;0,388063;-0,118480;2,935093;0,018740;-0,156479;2,706462;0,368426;-0,102394;2,942622;0,026368;-0,136148;2,716751;0,147082;-0,127323;2,827182;0,034177;-0,117249;2,736979;0,127147;-0,456890;2,925553;-0,012476;-0,470321;2,839703;0,121946;-0,751226;3,006267;-0,038537;-0,793710;2,846498;0,083724;-0,840732;3,160337;-0,058081;-0,829343;2,821639;0,227318;-0,854463;3,019157;0,071614;-0,867468;2,773409
00:00:00.200;7;4;2;6;2;7,339812;-15,489450;-3,164705;56,555115;78,010044;157,637760;-3,523540;-11,936469;24,976598;73,005849;1,739032;24,966752;-53,893561;-43,431088;0,253699;0,449241;2,909816;0,256097;0,473387;2,896578;0,257218;0,473213;2,899673;0,260061;0,476307;2,912665;0,239443;0,476937;2,898062;0,230031;0,481207;2,896292;0,218595;0,483757;2,897961;0,229493;0,473968;2,908161;0,171954;0,488397;2,915251;0,243634;0,426751;2,929972;0,221985;0,430716;2,923640;0,216110;0,311607;2,986501;0,028225;0,346770;2,893019;0,368846;0,128020;4,028034;-0,063355;0,113393;2,833041;0,404077;-0,047795;3,026753;0,062532;-0,059831;2,802488;0,446233;-0,092837;2,996330;0,084786;-0,117197;2,795548;0,453875;-0,092281;2,989183;0,114311;-0,110904;2,789533;0,434124;-0,078507;2,999005;0,114063;-0,092338;2,797822;0,184074;-0,129129;2,910212;0,062299;-0,117672;2,840092;0,156461;-0,465978;2,988238;0,025898;-0,481257;2,924080;0,147233;-0,777933;3,074693;-0,002719;-0,814164;2,906451;0,103684;-0,848552;3,173440;-0,028595;-0,856184;2,890924;0,248271;-0,880903;3,082196;0,115878;-0,889186;2,823313
00:00:00.233;8;4;2;6;2;3,220744;-10,589292;-6,528045;61,974044;69,930603;145,964280;-2,147890;-22,560810;17,125725;64,058786;5,259503;26,121267;-153,737208;-68,018596;0,290825;0,436582;2,941440;0,294734;0,462081;2,925315;0,295463;0,461968;2,927327;0,296276;0,464040;2,936181;0,281823;0,465574;2,926962;0,274665;0,469490;2,926179;0,265082;0,472259;2,927436;0,263938;0,468041;2,948256;0,218980;0,482038;2,954271;0,274968;0,416021;2,959168;0,258413;0,420434;2,952378;0,228198;0,306745;2,991507;0,067986;0,345843;2,910869;0,343496;0,116362;3,632931;0,014957;0,108882;2,853822;0,414850;-0,038103;2,995830;0,183049;-0,033188;2,833633;0,798608;-0,119150;4,836089;0,215256;-0,081025;2,834881;0,471253;-0,076691;2,974388;0,236683;-0,071646;2,825119;0,442314;-0,062299;2,973818;0,230030;-0,055375;2,829348;0,200808;-0,129333;2,941735;0,087989;-0,118772;2,900181;0,178320;-0,470605;3,020759;0,060270;-0,487940;2,962756;0,164690;-0,799340;3,116834;0,030287;-0,829254;2,940168;0,121839;-0,862452;3,192859;-0,002948;-0,875759;2,928503;0,265909;-0,896114;3,116378;0,153730;-0,914963;2,892328
00:00:00.266;9;4;2;6;1;1,260788;-8,219535;-7,745656;62,631936;57,775417;126,244917;-2,200321;-29,120026;10,692451;50,809598;9,266524;-22,830274;146,118355;-56,532555;0,327244;0,429738;2,964103;0,332233;0,455241;2,947427;0,331472;0,455003;2,947629;0,330916;0,456352;2,953398;0,320334;0,458321;2,946632;0,314535;0,461882;2,945658;0,305000;0,465791;2,946078;0,295773;0,462213;2,961251;0,257303;0,476410;2,970006;0,307606;0,409271;2,979854;0,293195;0,413937;2,972452;0,239638;0,303779;2,985807;0,103153;0,343525;2,916912;0,313820;0,108589;3,370131;0,077444;0,103848;2,867417;0,408961;-0,036434;3,007843;0,270399;-0,024298;2,857872;0,969329;-0,156153;6,102604;0,311006;-0,071426;2,868964;0,750355;-0,119318;4,892235;0,327797;-0,062004;2,854401;0,726571;-0,094287;5,053292;0,315274;-0,045034;2,852327;0,212936;-0,127878;2,950479;0,108087;-0,117609;2,919242;0,192840;-0,470759;3,030679;0,084273;-0,490183;2,975147;0,177336;-0,816152;3,146384;0,055021;-0,840175;2,962150;0,133527;-0,873192;3,203153;0,016921;-0,888289;2,948723;0,281814;-0,906600;3,136680;0,182068;-0,933518;2,942834
00:00:00.300;10;4;2;5;1;0,626016;-9,075273;-8,750958;62,418212;39,820494;100,872227;-2,344205;-32,439009;7,690438;35,101985;8,048930;23,364531;132,886330;-44,031274;0,353329;0,425524;2,980525;0,357921;0,451041;2,963468;0,356200;0,450736;2,962576;0,354665;0,451518;2,965690;0,347668;0,454840;2,960404;0,341708;0,458220;2,959633;0,333309;0,461815;2,959693;0,317665;0,457479;2,970638;0,284269;0,472573;2,979087;0,329880;0,404841;2,992981;0,317903;0,409613;2,984743;0,250897;0,303576;2,988434;0,127189;0,342238;2,922746;0,296840;0,103611;3,201602;0,115861;0,101579;2,874786;0,407376;-0,031730;2,976144;0,322514;-0,022775;2,877936;0,784206;-0,125614;4,993825;0,366072;-0,069348;2,886327;0,645727;-0,098413;4,204377;0,382343;-0,058980;2,877138;0,622162;-0,076750;4,304646;0,368569;-0,042611;2,873784;0,225179;-0,126953;2,956649;0,125304;-0,116746;2,928869;0,204039;-0,469903;3,030939;0,101970;-0,491322;2,981267;0,184503;-0,827562;3,167416;0,072132;-0,846784;2,974734;0,139343;-0,876596;3,196937;0,029834;-0,895324;2,961790;0,292285;-0,913809;3,151225;0,201929;-0,946948;2,979960
