Timestamp;Frame;RULA_C;Score_A_R;Score_A_L;Score_B;Trunk_Sag;Neck_Sag;UA_Sag_R;LA_Ang_R;UA_Sag_L;LA_Ang_L;Trunk_Fro;Neck_Fro;UA_Fro_R;UA_Fro_L;Wr_Flex_R;Wr_Dev_R;Wr_Flex_L;Wr_Dev_L;Nose_X;Nose_Y;Nose_Z;L_Eye_In_X;L_Eye_In_Y;L_Eye_In_Z;L_Eye_X;L_Eye_Y;L_Eye_Z;L_Eye_Out_X;L_Eye_Out_Y;L_Eye_Out_Z;R_Eye_In_X;R_Eye_In_Y;R_Eye_In_Z;R_Eye_X;R_Eye_Y;R_Eye_Z;R_Eye_Out_X;R_Eye_Out_Y;R_Eye_Out_Z;L_Ear_X;L_Ear_Y;L_Ear_Z;R_Ear_X;R_Ear_Y;R_Ear_Z;Mouth_L_X;Mouth_L_Y;Mouth_L_Z;Mouth_R_X;Mouth_R_Y;Mouth_R_Z;L_Shoulder_X;L_Shoulder_Y;L_Shoulder_Z;R_Shoulder_X;R_Shoulder_Y;R_Shoulder_Z;L_Elbow_X;L_Elbow_Y;L_Elbow_Z;R_Elbow_X;R_Elbow_Y;R_Elbow_Z;L_Wrist_X;L_Wrist_Y;L_Wrist_Z;R_Wrist_X;R_Wrist_Y;R_Wrist_Z;L_Pinky_X;L_Pinky_Y;L_Pinky_Z;R_Pinky_X;R_Pinky_Y;R_Pinky_Z;L_Index_X;L_Index_Y;L_Index_Z;R_Index_X;R_Index_Y;R_Index_Z;L_Thumb_X;L_Thumb_Y;L_Thumb_Z;R_Thumb_X;R_Thumb_Y;R_Thumb_Z;L_Hip_X;L_Hip_Y;L_Hip_Z;R_Hip_X;R_Hip_Y;R_Hip_Z;L_Knee_X;L_Knee_Y;L_Knee_Z;R_Knee_X;R_Knee_Y;R_Knee_Z;L_Ankle_X;L_Ankle_Y;L_Ankle_Z;R_Ankle_X;R_Ankle_Y;R_Ankle_Z;L_Heel_X;L_Heel_Y;L_Heel_Z;R_Heel_X;R_Heel_Y;R_Heel_Z;L_Foot_In_X;L_Foot_In_Y;L_Foot_In_Z;R_Foot_In_X;R_Foot_In_Y;R_Foot_In_Z
00:00:00.666;1;6;6;6;5;-175,663273;-142,967143;-171,829068;41,595130;177,694766;52,760954;175,041509;153,517010;178,030324;171,853088;-21,894416;-12,473081;-18,057122;27,706612;0,068620;-0,193749;-0,027081;0,067512;-0,209029;-0,024545;0,067696;-0,209148;-0,024322;0,067647;-0,209379;-0,024320;0,065857;-0,206975;-0,035483;0,066161;-0,207300;-0,035689;0,066131;-0,207768;-0,035468;0,036512;-0,226333;0,000007;0,029237;-0,219001;-0,053856;0,054771;-0,194188;-0,017252;0,052627;-0,191910;-0,032310;0,029356;-0,173137;0,035796;-0,017299;-0,171462;-0,072964;0,030837;-0,096976;0,047025;-0,006508;-0,080322;-0,081003;0,076564;-0,045550;0,012212;0,052560;-0,027071;-0,079684;0,082960;-0,022154;0,007491;0,063379;-0,004032;-0,088143;0,088754;-0,025485;-0,000742;0,075401;-0,012550;-0,089695;0,079019;-0,042153;0,007310;0,060289;-0,025879;-0,079868;0,024823;0,000615;0,032076;-0,024986;-0,000893;-0,031496;-0,000539;0,143152;0,050647;-0,019287;0,143469;-0,027223;0,006803;0,268092;0,084717;-0,021405;0,281713;-0,013293;0,010608;0,284842;0,084906;-0,020946;0,299097;-0,014926;0,046473;0,304965;0,062920;0,013270;0,320293;-0,054504
00:00:00.700;2;6;6;6;5;-177,017797;-143,491958;-172,498775;43,881891;178,825193;52,790698;175,654484;154,245141;177,382201;172,660859;-20,022487;11,541280;-15,474574;-27,202930;0,109082;-0,320954;-0,039238;0,107005;-0,346242;-0,034310;0,107273;-0,346437;-0,033977;0,107158;-0,346822;-0,033925;0,104251;-0,342743;-0,052306;0,104715;-0,343285;-0,052648;0,104605;-0,344046;-0,052336;0,055539;-0,374492;0,006672;0,042632;-0,361769;-0,081846;0,086142;-0,321535;-0,022939;0,082321;-0,317555;-0,047646;0,043464;-0,286693;0,064407;-0,033568;-0,282914;-0,114890;0,047518;-0,160028;0,080422;-0,018022;-0,131879;-0,129085;0,121434;-0,077981;0,019989;0,082337;-0,046055;-0,128506;0,133432;-0,041643;0,011934;0,102321;-0,009491;-0,142454;0,142853;-0,047785;-0,001743;0,122119;-0,024895;-0,143951;0,125917;-0,073090;0,011832;0,095582;-0,044960;-0,128265;0,040747;0,000911;0,052956;-0,041021;-0,001368;-0,051997;0,000511;0,236254;0,080259;-0,031663;0,236271;-0,044862;0,012149;0,441995;0,132185;-0,036044;0,460881;-0,019249;0,018060;0,469439;0,131993;-0,035942;0,489122;-0,021157;0,077148;0,503209;0,093742;0,020490;0,526764;-0,084975
00:00:00.800;3;6;6;5;5;-177,318910;-142,244100;-173,199811;45,413935;179,394412;53,739610;175,902791;154,597742;177,081848;172,368562;-19,321939;11,189115;-13,164460;29,385199;0,139273;-0,402359;-0,046659;0,137336;-0,434075;-0,040098;0,137628;-0,434318;-0,039687;0,137435;-0,434811;-0,039585;0,134056;-0,429558;-0,062770;0,134599;-0,430243;-0,063201;0,134411;-0,431193;-0,062822;0,072249;-0,470434;0,011110;0,056182;-0,453878;-0,100294;0,109794;-0,403602;-0,026311;0,105024;-0,398430;-0,057418;0,052741;-0,360795;0,083294;-0,042069;-0,355077;-0,142303;0,059486;-0,200841;0,103707;-0,024833;-0,163957;-0,160114;0,152862;-0,101312;0,026406;0,101942;-0,058755;-0,159880;0,169823;-0,058757;0,016989;0,128067;-0,014433;-0,177339;0,182804;-0,066611;-0,000472;0,152875;-0,034607;-0,178210;0,159560;-0,095866;0,016114;0,118697;-0,058092;-0,159084;0,050555;0,000947;0,066623;-0,050911;-0,001523;-0,065418;0,003888;0,296680;0,099644;-0,039463;0,296159;-0,056985;0,016529;0,555004;0,163758;-0,046316;0,576008;-0,025468;0,023493;0,589399;0,163403;-0,046896;0,611177;-0,027515;0,097729;0,632822;0,115021;0,024749;0,660543;-0,105139
00:00:01.100;4;6;6;5;5;-177,595229;-142,263056;-173,320571;46,244346;-179,553034;54,039388;176,123026;154,814076;177,117595;172,575900;-19,093318;11,518296;-13,190431;-30,173707;0,157506;-0,455397;-0,049292;0,155075;-0,491242;-0,041427;0,155384;-0,491517;-0,040963;0,155136;-0,492079;-0,040821;0,151535;-0,486001;-0,067204;0,152121;-0,486779;-0,067684;0,151867;-0,487850;-0,067287;0,080825;-0,532789;0,016165;0,062810;-0,513265;-0,110392;0,123927;-0,457040;-0,026412;0,118560;-0,451006;-0,061767;0,058069;-0,409288;0,096563;-0,048157;-0,400567;-0,158876;0,068482;-0,227358;0,117908;-0,028819;-0,182795;-0,178793;0,173114;-0,116245;0,024093;0,114780;-0,066844;-0,178519;0,193003;-0,069026;0,012608;0,144848;-0,017507;-0,198326;0,206827;-0,077896;-0,007113;0,172878;-0,040663;-0,198544;0,180698;-0,110321;0,012412;0,133800;-0,066586;-0,177262;0,056544;0,000715;0,075578;-0,056953;-0,001367;-0,074207;0,005202;0,335957;0,110374;-0,044188;0,334579;-0,065643;0,014312;0,628860;0,180805;-0,053065;0,650512;-0,032453;0,021175;0,667774;0,180131;-0,054289;0,690173;-0,034796;0,103920;0,718855;0,125003;0,027141;0,747110;-0,119975
00:00:01.200;5;6;4;5;5;-167,771024;-102,667120;-153,034141;70,893659;-168,583156;84,062076;-167,001628;119,310720;154,517564;125,812657;-0,835065;56,690325;-13,916021;61,964459;0,249879;-0,151660;1,008639;0,249169;-0,166555;1,004752;0,248150;-0,165814;1,004024;0,247989;-0,166180;1,004117;0,243523;-0,161139;0,987093;0,240593;-0,160678;0,986085;0,238066;-0,158263;0,992671;0,184787;-0,189308;1,041942;0,159072;-0,171344;0,959115;0,219534;-0,159093;1,032710;0,211746;-0,154010;1,010248;0,159964;-0,157384;1,158058;0,026865;-0,141088;0,926488;0,196096;-0,115646;1,204008;0,038089;-0,085958;0,889732;0,336909;-0,082930;1,093035;0,221199;-0,054423;0,881646;0,364449;-0,062934;1,056324;0,259578;-0,039151;0,876074;0,377776;-0,067685;1,048144;0,288219;-0,050160;0,881785;0,351345;-0,085501;1,062650;0,255897;-0,060535;0,885742;0,121317;-0,047662;1,087522;0,003889;-0,047397;0,978284;0,080314;0,045464;1,154686;0,005762;0,038545;1,015961;0,078198;0,112342;1,215916;-0,012160;0,117959;1,035378;0,067921;0,123318;1,217656;-0,026245;0,132211;1,021154;0,166485;0,139554;1,158610;0,083908;0,147900;0,961273
00:00:02.066;6;3;3;3;3;-6,715710;-71,628848;-38,465763;72,066851;-9,993507;87,939201;-31,074624;41,968963;34,457147;32,426020;-12,306429;-84,755165;29,096976;-51,466493;0,317897;0,065350;1,803061;0,305352;0,051603;1,703300;0,306258;0,052611;1,706290;0,306375;0,051415;1,700050;0,295255;0,056170;1,684453;0,289773;0,057160;1,681263;0,283376;0,060349;1,682091;0,252384;0,038510;1,717309;0,214716;0,054980;1,659655;0,522112;0,291526;3,606564;0,267931;0,044599;1,715799;0,223078;0,010051;1,850781;0,072860;0,030693;1,640270;0,250242;-0,042961;1,872767;0,085906;-0,021889;1,586635;0,370957;-0,060692;1,702612;0,291115;-0,045292;1,568766;0,404460;-0,061244;1,685671;0,334366;-0,053255;1,575725;0,416493;-0,065403;1,681844;0,360733;-0,056143;1,575861;0,400767;-0,070687;1,687655;0,333473;-0,056525;1,572239;0,163267;-0,077942;1,743406;0,045693;-0,076378;1,665300;0,129234;-0,142448;1,834858;0,037311;-0,154849;1,724756;0,118667;-0,221479;1,890110;0,014413;-0,227983;1,728711;0,097140;-0,228160;1,891582;-0,009111;-0,232260;1,706295;0,207332;-0,235345;1,832418;0,122961;-0,240471;1,663977
00:00:02.133;7;4;5;3;3;-7,910552;-60,231169;-27,449550;41,391899;-13,312609;72,439887;-21,688055;-22,287405;-12,268520;32,170645;-26,438147;57,403452;-33,937873;-61,308954;0,398672;0,171460;2,237684;0,393119;0,171982;2,168898;0,392620;0,172649;2,170929;0,392696;0,171872;2,166873;0,384348;0,176055;2,156647;0,379707;0,178925;2,154719;0,373469;0,182199;2,155974;0,342497;0,169286;2,180177;0,311550;0,185673;2,143776;0,522099;0,313382;3,413819;0,353584;0,154018;2,185047;0,278380;0,108128;2,260399;0,159717;0,144601;2,132716;0,341793;0,002711;2,291990;0,217897;0,034524;2,111325;0,472710;-0,049565;2,122329;0,413436;-0,037520;2,045054;0,518155;-0,063593;2,108870;0,460596;-0,061270;2,067261;0,530547;-0,067283;2,103678;0,485735;-0,060398;2,042640;0,509307;-0,065508;2,109643;0,459825;-0,054238;2,037027;0,191478;-0,106866;2,181327;0,075424;-0,099957;2,121379;0,160233;-0,265333;2,281650;0,043434;-0,279470;2,185597;0,143865;-0,438627;2,328949;0,006411;-0,447108;2,190235;0,116163;-0,456801;2,330278;-0,016475;-0,460555;2,159194;0,232775;-0,476833;2,270550;0,108528;-0,487150;2,126416
00:00:02.300;8;3;4;3;3;-5,879871;67,342255;-15,639109;49,685419;-6,076956;76,551855;-22,464809;-78,328753;-12,958938;17,531935;-102,057519;-39,787970;-49,104831;48,306630;0,778221;0,480590;4,403132;0,784146;0,508773;4,360310;0,778572;0,509879;4,366627;0,773041;0,509807;4,367218;0,778741;0,517781;4,353999;0,765075;0,527074;4,362042;0,750640;0,536954;4,374184;0,695019;0,523779;4,400007;0,678314;0,556158;4,397880;0,833246;0,547842;5,163570;0,715510;0,451089;4,370841;0,315610;0,178422;2,582709;0,200592;0,218250;2,440092;0,356317;0,033655;2,608633;0,255281;0,067329;2,440603;0,471740;-0,038051;2,385088;0,451360;-0,028139;2,336935;0,524415;-0,061820;2,377076;0,900279;-0,098851;4,243345;0,534008;-0,058943;2,370760;0,946315;-0,080364;4,239187;0,513016;-0,050538;2,381066;0,892881;-0,058425;4,264162;0,206051;-0,125327;2,459641;0,093942;-0,114394;2,399471;0,179976;-0,344289;2,566269;0,051631;-0,358878;2,475648;0,160281;-0,579935;2,614802;0,003436;-0,590711;2,478752;0,127548;-0,606396;2,618920;-0,018516;-0,638462;2,529859;0,250423;-0,633758;2,555198;0,116188;-0,641684;2,395359
00:00:02.900;9;3;4;3;3;-4,321776;58,530496;-18,055719;47,294332;-4,965469;79,075127;-21,222708;-76,413438;-0,414160;19,598116;-92,563843;5,893116;-31,363555;41,826284;0,927848;0,734661;5,906450;0,937625;0,784201;5,875742;0,934002;0,784920;5,879848;0,926918;0,784525;5,877896;0,924501;0,793082;5,870734;0,900280;0,802372;5,855774;0,643271;0,531752;4,035519;0,588035;0,501132;3,922808;0,560775;0,523838;3,903660;0,946881;0,755326;6,393935;0,855612;0,703168;5,911737;0,331039;0,233758;2,806972;0,204481;0,264848;2,629076;0,372768;0,083215;2,843066;0,252398;0,087262;2,596562;0,485272;0,009160;2,622032;0,461961;-0,017847;2,536701;0,535290;-0,011381;2,593758;1,184123;-0,101278;5,833529;0,541308;-0,007365;2,588483;1,213044;-0,060518;5,842159;0,521882;-0,000684;2,599380;0,768725;-0,035392;3,799160;0,214570;-0,128739;2,642234;0,106399;-0,121029;2,589793;0,192896;-0,391296;2,752503;0,059209;-0,408689;2,666527;0,170755;-0,665215;2,797379;0,004787;-0,685608;2,664058;0,134832;-0,694922;2,804065;-0,017167;-0,735612;2,702069;0,262447;-0,730796;2,746239;0,128205;-0,747693;2,584179
00:00:03.100;10;3;3;3;3;-2,509661;55,004876;-12,340381;62,731904;-1,489151;69,590045;-17,232762;-72,267555;5,833477;22,285425;-82,794745;12,332314;-88,357123;-6,399155;0,741444;0,629430;4,918149;0,741645;0,663276;4,841901;0,738981;0,664444;4,842178;0,734377;0,664188;4,840909;0,728921;0,669963;4,830685;0,709502;0,676419;4,816806;0,538201;0,501511;3,633278;0,501296;0,481673;3,560437;0,468553;0,500716;3,555182;1,020745;0,890190;7,193673;0,677003;0,596296;4,877491;0,335061;0,265161;2,909019;0,187697;0,293195;2,735450;0,379670;0,108677;2,955274;0,208200;0,089482;2,690740;0,795513;0,073506;4,602589;0,468851;-0,011156;2,666549;0,873561;0,063214;4,586088;0,937226;-0,080479;4,829312;0,877514;0,047738;4,582886;0,963280;-0,043216;4,839589;0,846939;0,079240;4,590793;0,669600;-0,021442;3,528542;0,220078;-0,129855;2,760535;0,112411;-0,124330;2,714858;0,201078;-0,420253;2,870486;0,066279;-0,440722;2,788522;0,177556;-0,720614;2,915927;0,011117;-0,748640;2,781597;0,139575;-0,753662;2,924605;-0,016282;-0,800486;2,812457;0,270063;-0,794358;2,868244;0,141504;-0,824754;2,728862
