Participant code,Condition,Awareness,NASA-Perceived mental demand 1,NASA-perceived time pressure1,NASA_effort required1,NASA-perceived performance1,NASA-emotional experience-Insecurity,NASA-emotional experience-Discouragement,NASA-emotional experience-Irritation,NASA-emotional experience-Stress,NASA-emotional experience-Annoyement,SART-perceived task complexity,SART-readiness / alertness,SART-attentional focus on movement,SART-spare mental capacity,Perceived control&stress-perceived control of movements,Perceived control&stress-awareness of mistakes or near-mistakes,Sense of agency
2,workload,77.77777778,66.66666667,22.22222222,22.22222222,66.66666667,0,0,0,50,0,50,75,25,50,75,0,100
1,workload,77.77777778,88.88888889,77.77777778,55.55555556,55.55555556,75,0,0,25,0,50,25,0,0,25,25,50
3,workload,88.88888889,66.66666667,88.88888889,88.88888889,77.77777778,50,0,50,25,0,25,75,0,50,25,50,25
4,workload,88.88888889,66.66666667,77.77777778,77.77777778,55.55555556,75,0,0,50,0,25,50,25,25,50,25,50
5,workload,77.77777778,66.66666667,11.11111111,55.55555556,22.22222222,0,0,0,25,0,100,50,25,25,100,75,75
10,workload,66.66666667,22.22222222,0,22.22222222,66.66666667,25,0,0,0,0,75,75,75,75,50,75,75
11,workload,77.77777778,88.88888889,100,88.88888889,33.33333333,75,25,25,50,25,25,25,50,100,50,100,50
7,workload,77.77777778,55.55555556,11.11111111,22.22222222,33.33333333,25,0,0,25,0,50,75,25,0,50,75,25
8,workload,33.33333333,88.88888889,88.88888889,88.88888889,100,75,75,0,0,75,25,0,0,25,25,25,25
9,workload,55.55555556,77.77777778,33.33333333,88.88888889,100,75,75,0,50,0,25,25,100,0,25,75,50
6,workload,0,77.77777778,66.66666667,100,66.66666667,75,50,0,75,50,25,50,0,25,25,50,25
2,baseline,100,11.11111111,11.11111111,11.11111111,11.11111111,0,0,0,0,0,100,100,100,75,100,25,100
1,baseline,100,11.11111111,0,11.11111111,22.22222222,0,0,0,0,0,100,50,75,50,100,100,100
3,baseline,100,22.22222222,11.11111111,22.22222222,22.22222222,0,25,0,0,0,100,50,25,25,75,0,75
4,baseline,100,11.11111111,22.22222222,11.11111111,33.33333333,25,0,0,0,0,100,75,100,50,75,75,75
5,baseline,100,11.11111111,0,88.88888889,11.11111111,0,0,0,0,0,100,75,75,75,100,75,100
10,baseline,100,0,0,0,33.33333333,0,0,0,0,0,100,100,50,100,50,50,75
11,baseline,100,44.44444444,55.55555556,44.44444444,22.22222222,25,0,0,25,0,75,75,75,100,75,50,75
7,baseline,100,0,0,0,88.88888889,0,0,0,0,0,100,75,50,100,100,100,0
8,baseline,66.66666667,11.11111111,11.11111111,22.22222222,33.33333333,0,0,0,0,0,75,75,100,100,100,100,100
9,baseline,100,0,11.11111111,11.11111111,33.33333333,0,0,0,0,0,100,75,50,50,75,75,100
6,baseline,66.66666667,11.11111111,33.33333333,22.22222222,44.44444444,50,50,0,0,0,100,100,50,25,100,25,100
12,baseline,100,11.11111111,11.11111111,11.11111111,11.11111111,0,0,0,0,0,100,75,100,25,100,100,100
13,baseline,83.33333333,11.11111111,22.22222222,0,33.33333333,25,0,0,0,25,100,50,25,50,75,50,50
12,workload,77.77777778,77.77777778,88.88888889,44.44444444,22.22222222,100,50,50,75,50,25,25,25,25,50,0,25
13,workload,77.77777778,66.66666667,33.33333333,22.22222222,44.44444444,25,0,0,0,0,50,75,25,50,75,75,100
14,workload,77.77777778,77.77777778,44.44444444,77.77777778,44.44444444,75,0,0,50,0,25,75,25,75,25,25,0
14,baseline,33.33333333,22.22222222,11.11111111,22.22222222,44.44444444,0,0,0,0,50,100,0,75,50,75,75,75
15,workload,66.66666667,88.88888889,77.77777778,77.77777778,44.44444444,75,75,50,100,50,25,25,25,25,50,50,25
16,workload,150,55.55555556,22.22222222,22.22222222,22.22222222,50,0,0,25,0,50,50,25,75,100,100,100
17,workload,116.6666667,77.77777778,33.33333333,88.88888889,77.77777778,75,0,0,50,0,50,25,25,25,25,75,25
18,workload,83.33333333,77.77777778,55.55555556,44.44444444,33.33333333,75,50,50,75,25,25,75,25,75,75,75,50
15,baseline,116.6666667,11.11111111,55.55555556,44.44444444,33.33333333,0,0,0,25,0,100,75,75,75,100,100,100
16,baseline,100,0,0,0,11.11111111,0,0,0,0,25,100,100,75,100,100,75,100
17,baseline,150,0,0,44.44444444,44.44444444,75,0,0,0,0,100,50,75,100,75,50,75
18,baseline,116.6666667,11.11111111,11.11111111,11.11111111,11.11111111,0,0,0,0,0,100,0,25,25,75,75,75
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
condition,awareness,nasa,sart,control,agency,,,,,,,,,,,,,
baseline,96.2962963,11.19684499,73.95833333,76.38888889,81.94444444,,,,,,,,,,,,,
workload,76.2345679,46.37345679,39.16666667,52.08333333,48.61111111,,,,,,,,,,,,,
