Timestamp;Frame;RULA_C;Score_A_R;Score_A_L;Score_B;Trunk_Sag;Neck_Sag;UA_Sag_R;LA_Ang_R;UA_Sag_L;LA_Ang_L;Trunk_Fro;Neck_Fro;UA_Fro_R;UA_Fro_L;Wr_Flex_R;Wr_Dev_R;Wr_Flex_L;Wr_Dev_L;Nose_X;Nose_Y;Nose_Z;L_Eye_In_X;L_Eye_In_Y;L_Eye_In_Z;L_Eye_X;L_Eye_Y;L_Eye_Z;L_Eye_Out_X;L_Eye_Out_Y;L_Eye_Out_Z;R_Eye_In_X;R_Eye_In_Y;R_Eye_In_Z;R_Eye_X;R_Eye_Y;R_Eye_Z;R_Eye_Out_X;R_Eye_Out_Y;R_Eye_Out_Z;L_Ear_X;L_Ear_Y;L_Ear_Z;R_Ear_X;R_Ear_Y;R_Ear_Z;Mouth_L_X;Mouth_L_Y;Mouth_L_Z;Mouth_R_X;Mouth_R_Y;Mouth_R_Z;L_Shoulder_X;L_Shoulder_Y;L_Shoulder_Z;R_Shoulder_X;R_Shoulder_Y;R_Shoulder_Z;L_Elbow_X;L_Elbow_Y;L_Elbow_Z;R_Elbow_X;R_Elbow_Y;R_Elbow_Z;L_Wrist_X;L_Wrist_Y;L_Wrist_Z;R_Wrist_X;R_Wrist_Y;R_Wrist_Z;L_Pinky_X;L_Pinky_Y;L_Pinky_Z;R_Pinky_X;R_Pinky_Y;R_Pinky_Z;L_Index_X;L_Index_Y;L_Index_Z;R_Index_X;R_Index_Y;R_Index_Z;L_Thumb_X;L_Thumb_Y;L_Thumb_Z;R_Thumb_X;R_Thumb_Y;R_Thumb_Z;L_Hip_X;L_Hip_Y;L_Hip_Z;R_Hip_X;R_Hip_Y;R_Hip_Z;L_Knee_X;L_Knee_Y;L_Knee_Z;R_Knee_X;R_Knee_Y;R_Knee_Z;L_Ankle_X;L_Ankle_Y;L_Ankle_Z;R_Ankle_X;R_Ankle_Y;R_Ankle_Z;L_Heel_X;L_Heel_Y;L_Heel_Z;R_Heel_X;R_Heel_Y;R_Heel_Z;L_Foot_In_X;L_Foot_In_Y;L_Foot_In_Z;R_Foot_In_X;R_Foot_In_Y;R_Foot_In_Z
00:00:00.000;1;3;3;2;3;-8,519002;39,407261;-9,173207;20,135200;-11,965601;29,079317;1,290042;32,756493;6,009715;14,768848;-24,791405;3,934935;-3,442666;-2,268192;-0,012751;-0,136515;0,461300;-0,005973;-0,147093;0,459200;-0,000748;-0,148813;0,459900;0,003759;-0,149606;0,462350;-0,018766;-0,146377;0,461650;-0,021868;-0,146289;0,463750;-0,024997;-0,146951;0,465850;0,012293;-0,149817;0,472500;-0,025091;-0,142181;0,467600;-0,002291;-0,128308;0,469700;-0,017658;-0,127442;0,472150;0,063840;-0,082320;0,516600;-0,052750;-0,070604;0,499100;0,084854;0,009334;0,521850;-0,064468;0,024981;0,495600;0,095856;0,080804;0,487200;-0,064289;0,104375;0,465150;0,101839;0,104171;0,478100;-0,071333;0,120829;0,447650;0,094287;0,104334;0,475300;-0,063524;0,121937;0,449050;0,090508;0,099091;0,479850;-0,058312;0,116625;0,453950;0,043175;0,071461;0,457800;-0,018496;0,079163;0,455000;0,031295;0,091077;0,246750;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,026305;0,088547;0,227850;0,000000;0,000000;0,000000;0,026305;0,088547;0,227850;0,000000;0,000000;0,000000
00:00:00.044;2;3;3;2;3;-8,666917;40,483888;-8,622538;19,620688;-11,783804;28,173559;1,346248;32,774043;6,091879;14,542855;-24,357617;-4,582240;-3,506450;-1,669668;-0,021020;-0,225042;0,760445;-0,009856;-0,243451;0,757680;-0,001234;-0,245542;0,758835;0,006197;-0,247374;0,762178;-0,031700;-0,241411;0,761373;-0,036049;-0,241155;0,764488;-0,041207;-0,242248;0,767953;0,020274;-0,247855;0,779275;-0,041362;-0,235145;0,770840;-0,003775;-0,211422;0,773955;-0,029122;-0,210185;0,778698;0,105466;-0,136837;0,853440;-0,087260;-0,116794;0,825615;0,140065;0,015407;0,861403;-0,106464;0,040448;0,818440;0,158506;0,133617;0,805630;-0,106174;0,171619;0,768198;0,168109;0,171959;0,789215;-0,117978;0,199110;0,740373;0,155713;0,172305;0,784945;-0,104864;0,200561;0,741283;0,149405;0,162792;0,792103;-0,096260;0,191782;0,749368;0,071815;0,122088;0,753620;-0,030518;0,135057;0,750750;0,053596;0,150148;0,406788;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,043403;0,146102;0,375953;0,000000;0,000000;0,000000;0,043271;0,143246;0,368603;0,000000;0,000000;0,000000
00:00:00.092;3;3;3;2;3;-8,840809;41,220237;-8,262576;19,346636;-11,599241;28,222308;1,232960;33,362834;6,071829;14,397009;-23,701784;4,642984;-3,660940;1,656945;-0,026386;-0,282482;0,954539;-0,012380;-0,306083;0,951692;-0,001550;-0,308529;0,953493;0,007784;-0,311037;0,957415;-0,040078;-0,302961;0,955492;-0,045968;-0,303239;0,958917;-0,052462;-0,303971;0,963619;0,025462;-0,311580;0,978679;-0,052698;-0,295571;0,967946;-0,003976;-0,265254;0,971021;-0,036535;-0,263684;0,976903;0,132652;-0,173286;1,073436;-0,109765;-0,147733;1,038550;0,176067;0,019367;1,082812;-0,133761;0,050501;1,028286;0,199160;0,167092;1,012260;-0,133399;0,214569;0,965178;0,211110;0,215945;0,991090;-0,148242;0,249898;0,930292;0,195570;0,216409;0,985864;-0,131735;0,251666;0,931234;0,187621;0,204125;0,994717;-0,120971;0,240723;0,941739;0,090263;0,156920;0,944153;-0,039058;0,173542;0,942638;0,068091;0,188544;0,510812;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,054516;0,183513;0,472219;0,000000;0,000000;0,000000;0,054299;0,178800;0,460092;0,000000;0,000000;0,000000
00:00:00.130;4;3;3;2;3;-8,937375;41,800242;-8,275988;19,668534;-11,372572;28,096995;1,239277;33,734449;6,072404;14,053552;-22,667121;4,405086;-3,999300;1,402264;-0,029863;-0,319713;1,080351;-0,014011;-0,347314;1,077100;-0,001754;-0,349877;1,078970;0,009563;-0,353055;1,083970;-0,045493;-0,342747;1,080970;-0,052382;-0,343371;1,084596;-0,059738;-0,343870;1,090102;0,029621;-0,353224;1,108991;-0,060066;-0,334848;1,096065;-0,004106;-0,300246;1,099114;-0,041353;-0,298459;1,105737;0,150367;-0,197034;1,216783;-0,124468;-0,168760;1,177657;0,198561;0,021935;1,226378;-0,151686;0,056294;1,166086;0,225516;0,188000;1,146219;-0,151143;0,241807;1,093566;0,239135;0,244612;1,122658;-0,167913;0,282911;1,053740;0,221546;0,245154;1,116812;-0,148520;0,284979;1,055052;0,212594;0,230354;1,127116;-0,136383;0,271974;1,067480;0,103027;0,180361;1,068350;-0,044594;0,199230;1,067014;0,077419;0,213642;0,577728;0,000000;0,000000;0,000000;0,028878;0,089635;0,230650;0,000000;0,000000;0,000000;0,061740;0,207830;0,534792;0,000000;0,000000;0,000000;0,061468;0,201910;0,519560;0,000000;0,000000;0,000000
00:00:00.170;5;3;3;2;3;-8,844571;42,122874;-8,784984;20,556403;-11,157833;27,854736;1,250507;34,025566;6,079012;13,808761;-21,941883;4,498114;-4,275225;-1,417704;-0,032124;-0,343914;1,162128;-0,015071;-0,374114;1,158615;-0,001887;-0,376753;1,160531;0,010720;-0,380366;1,166231;-0,048999;-0,368496;1,162180;-0,056517;-0,369235;1,165587;-0,064429;-0,369583;1,171617;0,032343;-0,380515;1,194394;-0,064836;-0,360272;1,178992;-0,004191;-0,322990;1,182374;-0,044471;-0,320968;1,189129;0,161838;-0,213257;1,309609;-0,133950;-0,182327;1,267377;0,213070;0,023592;1,318995;-0,163519;0,060126;1,257056;0,242579;0,201534;1,232942;-0,162774;0,258905;1,177718;0,257277;0,263169;1,207828;-0,180755;0,304463;1,134331;0,238292;0,263684;1,201228;-0,159381;0,306538;1,135184;0,228827;0,247403;1,213175;-0,146489;0,291722;1,149912;0,111358;0,196397;1,149427;-0,048207;0,215994;1,148209;0,083403;0,228659;0,617723;0,000000;0,000000;0,000000;0,048113;0,148169;0,381273;0,000000;0,000000;0,000000;0,069053;0,224860;0,578615;0,000000;0,000000;0,000000;0,067707;0,220876;0,568364;0,000000;0,000000;0,000000
00:00:00.214;6;3;3;2;3;-8,598464;42,132742;-9,608796;21,918292;-11,312086;27,979879;1,387774;33,843576;6,138954;13,881767;-21,711518;2,659318;-4,501518;1,244100;-0,033593;-0,359645;1,215283;-0,015761;-0,391534;1,211600;-0,001227;-0,394337;1,213895;0,011475;-0,398233;1,220050;-0,051248;-0,385758;1,214267;-0,059204;-0,386047;1,218232;-0,067498;-0,386407;1,224951;0,034113;-0,398255;1,249906;-0,067975;-0,377011;1,233595;-0,004246;-0,337774;1,236493;-0,046472;-0,335410;1,242634;0,168280;-0,223572;1,368546;-0,140151;-0,192013;1,326045;0,222444;0,024662;1,378847;-0,171575;0,061933;1,318986;0,253601;0,210273;1,288962;-0,170528;0,269563;1,233817;0,269069;0,275231;1,263188;-0,189103;0,318471;1,186715;0,249247;0,275806;1,256448;-0,166538;0,320008;1,187969;0,239246;0,258342;1,268414;-0,152970;0,304382;1,202793;0,116875;0,207745;1,203178;-0,050570;0,227697;1,201336;0,088619;0,239847;0,647570;0,000000;0,000000;0,000000;0,059683;0,183360;0,471827;0,000000;0,000000;0,000000;0,073456;0,234842;0,604300;0,000000;0,000000;0,000000;0,070920;0,230484;0,593086;0,000000;0,000000;0,000000
00:00:00.261;7;3;3;2;3;-8,904269;43,681996;-8,291288;20,964953;-11,385747;27,426242;1,665373;33,471770;6,316372;13,431085;-21,587002;1,608276;-4,826371;1,252725;-0,034539;-0,369766;1,249484;-0,016209;-0,402858;1,246040;-0,001544;-0,405652;1,248232;0,011963;-0,409732;1,254682;-0,052695;-0,396866;1,247774;-0,060951;-0,396974;1,252451;-0,069493;-0,397343;1,259618;0,035264;-0,409786;1,285989;-0,070755;-0,387784;1,268737;-0,004282;-0,347383;1,271670;-0,047747;-0,344608;1,276712;0,172553;-0,230392;1,407555;-0,144958;-0,199384;1,371529;0,227578;0,025346;1,417051;-0,176766;0,062276;1,358891;0,260834;0,216011;1,325726;-0,176280;0,276415;1,269931;0,276660;0,283772;1,298822;-0,195259;0,327577;1,220765;0,256367;0,283685;1,292341;-0,171824;0,328576;1,221580;0,246018;0,266233;1,304319;-0,157878;0,312523;1,236815;0,121099;0,215676;1,237066;-0,052106;0,236044;1,235869;0,091128;0,245173;0,660671;0,000000;0,000000;0,000000;0,067523;0,206099;0,530338;0,000000;0,000000;0,000000;0,076156;0,239698;0,616795;0,000000;0,000000;0,000000;0,073330;0,236593;0,608806;0,000000;0,000000;0,000000
00:00:00.308;8;3;3;2;3;-9,246216;44,468680;-7,925030;21,076190;-10,279198;25,673881;1,681476;33,781162;6,326245;13,007067;-20,518930;2,608148;-5,029948;3,036609;-0,035153;-0,376345;1,271715;-0,016491;-0,409991;1,267726;-0,001749;-0,412780;1,269851;0,012273;-0,416978;1,276494;-0,053621;-0,403975;1,269203;-0,062069;-0,403966;1,274343;-0,070712;-0,404761;1,280752;0,036002;-0,417169;1,309093;-0,072562;-0,394787;1,291579;-0,004304;-0,353534;1,294186;-0,049379;-0,350871;1,299913;0,175629;-0,235227;1,435361;-0,147898;-0,203919;1,399344;0,230580;0,025752;1,439783;-0,180140;0,062498;1,384829;0,265466;0,219684;1,349272;-0,179823;0,280566;1,292005;0,281519;0,289247;1,321635;-0,199261;0,332765;1,242897;0,260926;0,288729;1,315322;-0,175259;0,334145;1,243427;0,250354;0,271291;1,327307;-0,161068;0,317815;1,258930;0,123706;0,220584;1,257693;-0,053090;0,241401;1,257965;0,093149;0,248635;0,669186;0,000000;0,000000;0,000000;0,072664;0,221015;0,568719;0,000000;0,000000;0,000000;0,077956;0,242990;0,625267;0,000000;0,000000;0,000000;0,074659;0,240972;0,620074;0,000000;0,000000;0,000000
00:00:00.356;9;3;3;2;3;-9,324339;44,984702;-7,077986;20,024711;-9,715543;24,477968;1,805985;33,795417;6,309936;12,721968;-20,178188;3,291274;-5,192565;4,255647;-0,036320;-0,380828;1,286865;-0,016674;-0,414628;1,281822;-0,001882;-0,417299;1,283553;0,012475;-0,421688;1,290671;-0,054252;-0,408819;1,283832;-0,062830;-0,408733;1,289273;-0,071543;-0,409804;1,295189;0,036481;-0,421968;1,324110;-0,073737;-0,399339;1,306426;-0,004318;-0,357532;1,308821;-0,050453;-0,355036;1,315343;0,177457;-0,238140;1,452035;-0,149846;-0,207744;1,417774;0,232365;0,025998;1,453509;-0,182015;0,062536;1,399239;0,268409;0,222014;1,364227;-0,182126;0,283264;1,306353;0,284677;0,292806;1,336462;-0,202707;0,336324;1,257983;0,263889;0,292008;1,330259;-0,178273;0,337859;1,257978;0,252458;0,274650;1,342600;-0,163186;0,321343;1,273655;0,126208;0,223898;1,271800;-0,053744;0,244952;1,272677;0,096560;0,253060;0,683821;0,000000;0,000000;0,000000;0,077489;0,235198;0,605218;0,000000;0,000000;0,000000;0,080163;0,249482;0,641973;0,000000;0,000000;0,000000;0,076364;0,247763;0,637548;0,000000;0,000000;0,000000
00:00:00.403;10;3;3;2;3;-9,322704;45,450415;-6,217709;18,913244;-9,566523;24,228127;1,957167;33,586500;6,307846;12,538079;-20,548844;3,897352;-5,286238;4,853279;-0,037069;-0,383639;1,296362;-0,016798;-0,417755;1,291334;-0,001969;-0,420350;1,292809;0,012605;-0,424749;1,299886;-0,054677;-0,412079;1,293691;-0,063325;-0,411831;1,298977;-0,072083;-0,413083;1,304573;0,036793;-0,425088;1,333872;-0,074501;-0,402297;1,316077;-0,004325;-0,359939;1,317634;-0,051124;-0,357554;1,324673;0,178561;-0,239918;1,462172;-0,151223;-0,210386;1,430803;0,233524;0,026157;1,462431;-0,183188;0,062545;1,408255;0,270046;0,223301;1,372547;-0,183672;0,285093;1,316030;0,286581;0,294965;1,345401;-0,204946;0,338637;1,267789;0,265676;0,293986;1,339269;-0,180132;0,340085;1,266736;0,253826;0,276833;1,352540;-0,164473;0,323459;1,282525;0,127976;0,226300;1,282370;-0,054155;0,247191;1,281890;0,131756;0,336204;0,915934;0,000000;0,000000;0,000000;0,080626;0,244418;0,628942;0,000000;0,000000;0,000000;0,081597;0,253702;0,652833;0,000000;0,000000;0,000000;0,077471;0,252177;0,648906;0,000000;0,000000;0,000000
