Timestamp;Frame;RULA_C;Score_A_R;Score_A_L;Score_B;Trunk_Sag;Neck_Sag;UA_Sag_R;LA_Ang_R;UA_Sag_L;LA_Ang_L;Trunk_Fro;Neck_Fro;UA_Fro_R;UA_Fro_L;Wr_Flex_R;Wr_Dev_R;Wr_Flex_L;Wr_Dev_L;Nose_X;Nose_Y;Nose_Z;L_Eye_In_X;L_Eye_In_Y;L_Eye_In_Z;L_Eye_X;L_Eye_Y;L_Eye_Z;L_Eye_Out_X;L_Eye_Out_Y;L_Eye_Out_Z;R_Eye_In_X;R_Eye_In_Y;R_Eye_In_Z;R_Eye_X;R_Eye_Y;R_Eye_Z;R_Eye_Out_X;R_Eye_Out_Y;R_Eye_Out_Z;L_Ear_X;L_Ear_Y;L_Ear_Z;R_Ear_X;R_Ear_Y;R_Ear_Z;Mouth_L_X;Mouth_L_Y;Mouth_L_Z;Mouth_R_X;Mouth_R_Y;Mouth_R_Z;L_Shoulder_X;L_Shoulder_Y;L_Shoulder_Z;R_Shoulder_X;R_Shoulder_Y;R_Shoulder_Z;L_Elbow_X;L_Elbow_Y;L_Elbow_Z;R_Elbow_X;R_Elbow_Y;R_Elbow_Z;L_Wrist_X;L_Wrist_Y;L_Wrist_Z;R_Wrist_X;R_Wrist_Y;R_Wrist_Z;L_Pinky_X;L_Pinky_Y;L_Pinky_Z;R_Pinky_X;R_Pinky_Y;R_Pinky_Z;L_Index_X;L_Index_Y;L_Index_Z;R_Index_X;R_Index_Y;R_Index_Z;L_Thumb_X;L_Thumb_Y;L_Thumb_Z;R_Thumb_X;R_Thumb_Y;R_Thumb_Z;L_Hip_X;L_Hip_Y;L_Hip_Z;R_Hip_X;R_Hip_Y;R_Hip_Z;L_Knee_X;L_Knee_Y;L_Knee_Z;R_Knee_X;R_Knee_Y;R_Knee_Z;L_Ankle_X;L_Ankle_Y;L_Ankle_Z;R_Ankle_X;R_Ankle_Y;R_Ankle_Z;L_Heel_X;L_Heel_Y;L_Heel_Z;R_Heel_X;R_Heel_Y;R_Heel_Z;L_Foot_In_X;L_Foot_In_Y;L_Foot_In_Z;R_Foot_In_X;R_Foot_In_Y;R_Foot_In_Z
00:00:00.000;1;3;3;3;3;-9,421849;24,582880;19,279161;13,816174;-9,545763;54,021235;-8,972354;7,543020;30,721609;18,361533;-17,830889;0,091184;-8,400711;-9,733861;0,084080;-0,079535;0,465850;0,090693;-0,088425;0,464800;0,094563;-0,087699;0,469000;0,097613;-0,086174;0,469000;0,079810;-0,091104;0,463050;0,074652;-0,092750;0,463750;0,070936;-0,093575;0,464100;0,099183;-0,082268;0,472850;0,061955;-0,091785;0,470400;0,087203;-0,069454;0,474600;0,072447;-0,072447;0,469000;0,115694;-0,023139;0,490700;0,016433;-0,042256;0,481250;0,137726;0,049645;0,492450;-0,022123;0,022123;0,438900;0,117507;0,105326;0,440650;-0,052290;0,068040;0,387450;0,114893;0,117696;0,430850;-0,064328;0,077311;0,362950;0,107975;0,113584;0,431200;-0,058902;0,080107;0,362250;0,107438;0,110265;0,434700;-0,052235;0,078053;0,369250;0,073679;0,101748;0,431550;0,020663;0,100465;0,438200;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;-0,000724;0,173149;0,445550;0,000000;0,000000;0,000000;-0,002907;0,173693;0,446950;0,000000;0,000000;0,000000;-0,002177;0,173421;0,446250
00:00:00.044;2;3;4;3;3;-8,821186;23,084419;20,307038;18,087503;-9,519432;54,599162;-8,761127;7,122641;30,653230;18,168333;4,516283;-24,728789;-8,558970;-7,511876;0,138985;-0,130713;0,770053;0,149780;-0,145278;0,767620;0,156862;-0,144006;0,774200;0,161280;-0,141616;0,774900;0,131808;-0,150460;0,764733;0,124044;-0,153178;0,765888;0,117258;-0,154680;0,767165;0,164717;-0,135215;0,781603;0,102503;-0,151856;0,778260;0,143563;-0,113574;0,781340;0,119808;-0,119043;0,775600;0,190812;-0,038162;0,809305;0,027090;-0,069661;0,793363;0,227150;0,083480;0,812193;-0,035653;0,035653;0,721385;0,193793;0,172988;0,726723;-0,081175;0,108957;0,623893;0,189854;0,194485;0,711953;-0,100558;0,125700;0,590118;0,178247;0,187506;0,711830;-0,093119;0,131665;0,598063;0,178067;0,181319;0,717605;-0,081387;0,126278;0,600163;0,121631;0,171477;0,712408;0,034127;0,170924;0,723730;0,000000;0,000000;0,000000;0,011813;0,166076;0,427350;0,000000;0,000000;0,000000;-0,001174;0,280527;0,721858;0,000000;0,000000;0,000000;-0,004685;0,279928;0,720318;0,000000;0,000000;0,000000;-0,000710;0,281112;0,723363
00:00:00.081;3;3;4;3;3;-8,509188;22,213298;20,776381;21,684343;-8,296382;53,729179;-8,853731;7,185740;29,978376;17,853803;5,625775;31,985499;-10,493113;8,657975;0,175560;-0,164096;0,968484;0,189012;-0,181541;0,964803;0,197072;-0,180346;0,971180;0,203501;-0,177717;0,974085;0,166299;-0,188972;0,960476;0,156904;-0,191700;0,962277;0,148124;-0,194399;0,964157;0,207166;-0,169510;0,981592;0,129043;-0,191174;0,979769;0,181096;-0,141583;0,981421;0,151467;-0,149437;0,975590;0,240051;-0,047210;1,018148;0,034006;-0,088224;0,995886;0,284982;0,105363;1,018975;-0,041552;0,043673;0,903600;0,244001;0,216171;0,912320;-0,092740;0,133138;0,767080;0,238672;0,243790;0,895019;-0,114643;0,154505;0,727976;0,224802;0,235037;0,894940;-0,104962;0,160779;0,739091;0,224237;0,227060;0,902543;-0,092563;0,154505;0,743606;0,152918;0,217676;0,895665;0,042181;0,217521;0,909675;0,000000;0,000000;0,000000;0,019491;0,274025;0,705128;0,000000;0,000000;0,000000;-0,005243;0,360796;0,928407;0,000000;0,000000;0,000000;-0,010535;0,360951;0,928806;0,000000;0,000000;0,000000;-0,001202;0,359544;0,925186
00:00:00.122;4;3;4;3;3;-8,393254;21,141923;25,132538;22,469742;-6,949856;53,370713;-8,989027;6,722979;27,871470;17,283045;9,408826;39,748262;-11,817108;12,781433;0,200224;-0,185152;1,098165;0,215409;-0,204484;1,093672;0,223898;-0,203142;1,098867;0,231932;-0,200607;1,104605;0,189595;-0,213388;1,088410;0,179077;-0,216809;1,090280;0,169756;-0,220287;1,092552;0,235054;-0,190498;1,112985;0,147298;-0,217073;1,112500;0,206459;-0,159167;1,112524;0,172155;-0,169300;1,106284;0,272139;-0,053107;1,154246;0,038489;-0,100259;1,127176;0,322780;0,123344;1,151284;-0,037908;0,049505;1,006290;0,275734;0,244074;1,032258;-0,081877;0,143575;0,839152;0,268721;0,275554;1,012962;-0,101067;0,167331;0,799735;0,254359;0,265230;1,013961;-0,089266;0,171406;0,812209;0,253451;0,255995;1,022403;-0,077349;0,165837;0,824244;0,173315;0,248495;1,015132;0,046656;0,246841;1,029489;0,000000;0,000000;0,000000;0,020926;0,342560;0,881483;0,000000;0,000000;0,000000;-0,009003;0,401681;1,033615;0,000000;0,000000;0,000000;-0,017245;0,400286;1,030024;0,000000;0,000000;0,000000;-0,002179;0,400731;1,031171
00:00:00.169;5;4;5;3;3;-8,178567;20,497986;28,854680;23,297880;-5,681947;52,463667;-9,077199;6,251339;25,752242;16,787267;20,926357;57,898618;-13,220268;-20,093674;0,217342;-0,199131;1,184207;0,233536;-0,219592;1,178487;0,242529;-0,217581;1,183964;0,251477;-0,214969;1,190843;0,205492;-0,229258;1,171566;0,194941;-0,233061;1,173132;0,184630;-0,237185;1,176359;0,254251;-0,204377;1,199790;0,159937;-0,233907;1,198775;0,222945;-0,170597;1,197740;0,186536;-0,181602;1,192284;0,293079;-0,056155;1,243060;0,041379;-0,108019;1,211814;0,346955;0,135667;1,235885;-0,032583;0,057991;1,061139;0,296174;0,263472;1,109518;-0,062363;0,148717;0,876199;0,286578;0,297314;1,088576;-0,073556;0,174284;0,842178;0,272782;0,284763;1,090974;-0,060752;0,173632;0,863586;0,272527;0,274181;1,100662;-0,051926;0,167717;0,873858;0,187458;0,268787;1,093836;0,048867;0,265984;1,107718;0,034190;0,088819;0,228550;0,021858;0,387108;0,996114;0,000000;0,000000;0,000000;-0,010669;0,425536;1,095000;0,000000;0,000000;0,000000;-0,020213;0,425718;1,095466;0,000000;0,000000;0,000000;-0,002100;0,423967;1,090961
00:00:00.215;6;4;5;3;2;-8,133604;19,558438;32,541666;23,483353;-4,656190;51,894923;-9,152042;5,879327;23,884032;16,689967;32,834333;-62,653746;-13,307510;25,112370;0,229364;-0,207569;1,240835;0,246290;-0,228844;1,234666;0,255548;-0,226329;1,239976;0,265250;-0,223784;1,248298;0,216830;-0,239090;1,227018;0,205371;-0,243763;1,227686;0,195113;-0,248239;1,231183;0,266879;-0,212741;1,256914;0,168341;-0,245123;1,256254;0,234564;-0,177353;1,253831;0,196764;-0,189704;1,248885;0,306773;-0,058151;1,301139;0,043234;-0,113001;1,266129;0,363363;0,142845;1,290525;-0,024409;0,062886;1,086990;0,309366;0,275997;1,159386;-0,035742;0,147271;0,897129;0,297911;0,311169;1,136674;-0,041034;0,175319;0,868015;0,284495;0,296487;1,139983;-0,027644;0,169928;0,892431;0,284754;0,285121;1,150830;-0,020654;0,163593;0,903658;0,196651;0,281976;1,144993;0,050971;0,276040;1,157516;0,056413;0,146551;0,377108;0,022717;0,414714;1,083574;0,055784;0,173149;0,445550;-0,002683;0,445939;1,147500;0,053219;0,174237;0,448350;-0,009584;0,446601;1,149203;0,047683;0,175325;0,451150;0,002886;0,444919;1,144875
00:00:00.262;7;4;5;3;2;-8,713275;19,196461;35,031784;24,917815;-4,031386;50,582664;-9,176344;5,627408;20,804352;15,991162;34,026209;51,917951;-13,061765;29,945209;0,238010;-0,213112;1,277993;0,255627;-0,234351;1,272583;0,265143;-0,231563;1,278135;0,275125;-0,229638;1,286344;0,225020;-0,245549;1,263412;0,213086;-0,250170;1,264196;0,202096;-0,254875;1,267869;0,276088;-0,218354;1,295094;0,174676;-0,252549;1,294315;0,242117;-0,181744;1,290290;0,204352;-0,194357;1,286725;0,316003;-0,059510;1,340290;0,045255;-0,117112;1,302484;0,371943;0,147629;1,327091;-0,008760;0,064775;1,103794;0,317785;0,284641;1,193901;0,002702;0,143890;0,908634;0,304580;0,320175;1,167938;0,004884;0,172414;0,882360;0,291581;0,304288;1,172539;0,019003;0,162006;0,900330;0,291712;0,292661;1,185190;0,023265;0,155081;0,909728;0,202687;0,290636;1,178596;0,055585;0,279068;1,183936;0,115636;0,262611;0,690670;0,035749;0,402456;1,134473;0,092044;0,285695;0,735158;0,002507;0,459201;1,181625;0,087811;0,287491;0,739778;-0,002676;0,460175;1,184132;0,078676;0,289286;0,744398;0,006127;0,458537;1,179919
00:00:00.309;8;4;5;3;2;-9,372435;19,157924;36,723043;27,334642;-5,238914;52,650351;-9,352678;5,869644;18,373269;16,379810;34,580972;-39,087434;-12,567716;32,036343;0,243763;-0,216063;1,302845;0,261768;-0,237230;1,297579;0,271526;-0,234322;1,303638;0,281771;-0,232081;1,312124;0,230533;-0,249191;1,288118;0,218920;-0,254403;1,288277;0,207452;-0,259259;1,292065;0,282149;-0,221283;1,320261;0,178793;-0,257377;1,319055;0,247224;-0,183971;1,315039;0,209341;-0,197434;1,311671;0,322416;-0,061277;1,367489;0,047335;-0,119753;1,325765;0,379856;0,150873;1,359259;0,005881;0,065898;1,112966;0,323629;0,290594;1,217736;0,040767;0,137883;0,919262;0,308915;0,328122;1,188260;0,048478;0,167267;0,893784;0,296101;0,310670;1,193351;0,063941;0,153208;0,908965;0,296405;0,298446;1,208223;0,066151;0,145453;0,918223;0,207012;0,294426;1,198687;0,059212;0,279315;1,199708;0,168605;0,263420;0,890985;0,047378;0,353334;1,161608;0,138133;0,356087;0,923752;0,005881;0,467821;1,203806;0,110296;0,361106;0,929205;0,001815;0,468998;1,206836;0,098822;0,363361;0,935008;0,008234;0,467390;1,202697
00:00:00.356;9;4;5;3;2;-9,603214;18,939593;37,781439;29,482164;-4,440416;70,999125;-9,424750;5,988714;14,543490;14,305220;23,908216;28,801670;-128,422695;31,680064;0,247304;-0,217808;1,317949;0,265616;-0,238975;1,313126;0,276296;-0,235991;1,319514;0,285940;-0,233547;1,328180;0,234811;-0,251491;1,303827;0,222591;-0,256260;1,303230;0,210762;-0,261898;1,306742;0,285788;-0,222954;1,335220;0,181517;-0,260583;1,335486;0,251451;-0,185515;1,331825;0,212583;-0,199434;1,327886;0,325941;-0,061650;1,385868;0,048648;-0,122151;1,339847;0,376072;0,152285;1,373869;0,026331;0,066628;1,118928;0,297159;0,252398;1,117028;0,086794;0,133729;0,940870;0,317742;0,320243;1,210919;0,101979;0,163827;0,906810;0,309277;0,302163;1,219128;0,119626;0,146424;0,921927;0,274083;0,262192;1,110495;0,119008;0,138521;0,930745;0,209519;0,295762;1,209997;0,062442;0,281601;1,213110;0,191512;0,216494;0,910591;0,068858;0,321015;1,180645;0,185141;0,351171;1,028489;0,008074;0,473424;1,218224;0,158694;0,376706;1,032034;0,004734;0,474733;1,221593;0,170029;0,378868;1,035805;0,009603;0,473143;1,217503
00:00:00.403;10;3;4;3;2;-9,717997;18,358128;38,134979;32,282917;-5,249528;79,061404;-9,456878;5,937642;10,787402;12,150567;14,932225;19,274318;-133,885749;-13,062060;0,249539;-0,218120;1,327417;0,268738;-0,239982;1,322532;0,279174;-0,236890;1,328784;0,289422;-0,234500;1,338617;0,237465;-0,252852;1,313337;0,224916;-0,257398;1,312600;0,212914;-0,263614;1,316283;0,287853;-0,223809;1,343543;0,183287;-0,262666;1,346166;0,254199;-0,186518;1,342736;0,214747;-0,200013;1,338776;0,327987;-0,060233;1,396764;0,049449;-0,123580;1,347601;0,368825;0,153551;1,386515;0,044841;0,068455;1,123853;0,280764;0,222466;1,052618;0,128331;0,132225;0,959816;0,297475;0,277703;1,116097;0,147043;0,163555;0,920526;0,291199;0,258994;1,118633;0,165443;0,144737;0,934203;0,265765;0,229894;1,048372;0,162939;0,136123;0,942384;0,211087;0,295145;1,216998;0,065207;0,283629;1,221122;0,212811;0,186805;0,929284;0,090544;0,311334;1,194069;0,219337;0,349566;1,097268;0,069604;0,439175;1,212896;0,196189;0,367057;1,097822;0,066907;0,442413;1,216136;0,220329;0,368665;1,103424;0,090016;0,456788;1,224327
