Timestamp;Frame;RULA_C;Score_A_R;Score_A_L;Score_B;Trunk_Sag;Neck_Sag;UA_Sag_R;LA_Ang_R;UA_Sag_L;LA_Ang_L;Trunk_Fro;Neck_Fro;UA_Fro_R;UA_Fro_L;Wr_Flex_R;Wr_Dev_R;Wr_Flex_L;Wr_Dev_L;Nose_X;Nose_Y;Nose_Z;L_Eye_In_X;L_Eye_In_Y;L_Eye_In_Z;L_Eye_X;L_Eye_Y;L_Eye_Z;L_Eye_Out_X;L_Eye_Out_Y;L_Eye_Out_Z;R_Eye_In_X;R_Eye_In_Y;R_Eye_In_Z;R_Eye_X;R_Eye_Y;R_Eye_Z;R_Eye_Out_X;R_Eye_Out_Y;R_Eye_Out_Z;L_Ear_X;L_Ear_Y;L_Ear_Z;R_Ear_X;R_Ear_Y;R_Ear_Z;Mouth_L_X;Mouth_L_Y;Mouth_L_Z;Mouth_R_X;Mouth_R_Y;Mouth_R_Z;L_Shoulder_X;L_Shoulder_Y;L_Shoulder_Z;R_Shoulder_X;R_Shoulder_Y;R_Shoulder_Z;L_Elbow_X;L_Elbow_Y;L_Elbow_Z;R_Elbow_X;R_Elbow_Y;R_Elbow_Z;L_Wrist_X;L_Wrist_Y;L_Wrist_Z;R_Wrist_X;R_Wrist_Y;R_Wrist_Z;L_Pinky_X;L_Pinky_Y;L_Pinky_Z;R_Pinky_X;R_Pinky_Y;R_Pinky_Z;L_Index_X;L_Index_Y;L_Index_Z;R_Index_X;R_Index_Y;R_Index_Z;L_Thumb_X;L_Thumb_Y;L_Thumb_Z;R_Thumb_X;R_Thumb_Y;R_Thumb_Z;L_Hip_X;L_Hip_Y;L_Hip_Z;R_Hip_X;R_Hip_Y;R_Hip_Z;L_Knee_X;L_Knee_Y;L_Knee_Z;R_Knee_X;R_Knee_Y;R_Knee_Z;L_Ankle_X;L_Ankle_Y;L_Ankle_Z;R_Ankle_X;R_Ankle_Y;R_Ankle_Z;L_Heel_X;L_Heel_Y;L_Heel_Z;R_Heel_X;R_Heel_Y;R_Heel_Z;L_Foot_In_X;L_Foot_In_Y;L_Foot_In_Z;R_Foot_In_X;R_Foot_In_Y;R_Foot_In_Z
00:00:00.000;1;6;6;5;5;115,989344;170,686748;170,787637;94,905086;158,987927;65,879028;-135,829647;168,967647;168,504792;158,882350;27,061240;19,616251;-14,776915;-44,697788;-0,077360;-0,152444;0,699650;-0,040554;-0,090958;0,356300;-0,039551;-0,091897;0,357700;-0,038650;-0,092526;0,360150;-0,048819;-0,088660;0,345100;-0,053487;-0,088030;0,342650;-0,059067;-0,087773;0,339500;-0,048770;-0,085767;0,344750;-0,077444;-0,084082;0,340200;-0,079042;-0,120759;0,675150;-0,049380;-0,061164;0,345100;-0,024659;-0,020865;0,388850;-0,117684;-0,009764;0,316050;0,018473;0,051725;0,378700;-0,119933;0,079333;0,287000;0,067302;0,054340;0,306600;-0,049540;0,076691;0,292950;0,087091;0,053274;0,284900;-0,027443;0,081367;0,296100;0,088070;0,051138;0,291200;-0,021303;0,078459;0,319550;0,079160;0,051814;0,295050;-0,027719;0,076359;0,321650;-0,012540;0,059427;0,167650;-0,039738;0,054270;0,139650;0,000661;0,052638;0,135450;-0,030959;0,054407;0,140000;-0,001546;0,052774;0,135800;-0,029257;0,055495;0,142800;-0,004005;0,053182;0,136850;-0,031551;0,053862;0,138600;0,007411;0,052094;0,134050;-0,014611;0,052910;0,136150
00:00:00.053;2;6;6;5;5;115,222516;170,461825;170,699392;94,711850;158,964269;66,213052;-134,505365;168,819254;168,628722;159,088986;27,522171;-19,625736;13,769575;-45,229681;-0,126896;-0,247872;1,137623;-0,067373;-0,149812;0,586845;-0,065375;-0,151316;0,591255;-0,063848;-0,152848;0,594948;-0,081062;-0,146199;0,569065;-0,088645;-0,144980;0,564323;-0,097400;-0,144735;0,559825;-0,080470;-0,141516;0,568838;-0,127703;-0,138649;0,560980;-0,135254;-0,206639;1,155298;-0,081988;-0,100859;0,569065;-0,040709;-0,034446;0,641953;-0,194178;-0,016111;0,521483;0,030481;0,085962;0,624855;-0,197423;0,130900;0,473550;0,112152;0,089352;0,504140;-0,079949;0,126723;0,484068;0,143841;0,088167;0,469035;-0,043141;0,134635;0,491715;0,145257;0,085011;0,478730;-0,034089;0,129371;0,526908;0,130999;0,085910;0,486483;-0,044253;0,126242;0,531773;-0,019565;0,092720;0,261573;-0,065767;0,089818;0,231123;0,000871;0,086989;0,223843;-0,050932;0,089907;0,231350;-0,001667;0,087078;0,224070;-0,047275;0,091430;0,235270;-0,005267;0,087615;0,225453;-0,051089;0,089553;0,230440;0,012684;0,086091;0,221533;-0,024109;0,087302;0,224648
00:00:00.089;3;6;6;5;5;115,128139;170,489482;170,833906;94,457442;158,719889;66,210950;-134,241042;168,882881;168,976191;159,101679;27,494303;18,303160;13,438004;44,942711;-0,122161;-0,237072;1,088055;-0,084765;-0,187979;0,736349;-0,082121;-0,189850;0,742716;-0,080189;-0,191968;0,747216;-0,102021;-0,183599;0,714642;-0,111553;-0,182088;0,708760;-0,122868;-0,181761;0,703036;-0,100563;-0,177839;0,714844;-0,160371;-0,174117;0,704487;-0,167847;-0,254761;1,424343;-0,103692;-0,126598;0,714292;-0,051142;-0,043274;0,806469;-0,244152;-0,020215;0,654314;0,038884;0,108167;0,784506;-0,247470;0,164515;0,595158;0,141642;0,111985;0,631841;-0,098871;0,159428;0,608994;0,180514;0,111176;0,588023;-0,051912;0,169355;0,619215;0,182429;0,107029;0,600625;-0,041946;0,162722;0,662740;0,165078;0,108011;0,610564;-0,054504;0,158749;0,668702;-0,024062;0,115229;0,325072;-0,082785;0,113060;0,290930;0,000788;0,109453;0,281648;-0,064068;0,113662;0,292478;-0,001304;0,109239;0,281096;-0,058319;0,114380;0,294326;-0,005626;0,109588;0,281994;-0,063482;0,113024;0,290836;0,016112;0,108190;0,278396;-0,030282;0,109657;0,282171
00:00:00.131;4;6;6;5;5;115,060736;170,434778;170,913051;94,179724;158,274923;65,975631;-133,953283;168,703604;169,120393;159,389758;28,119103;17,440672;13,896460;45,475652;-0,119609;-0,229976;1,055486;-0,096110;-0,212876;0,833877;-0,093472;-0,214628;0,840115;-0,090848;-0,216898;0,846540;-0,116103;-0,207730;0,808568;-0,126999;-0,206208;0,802644;-0,139422;-0,205827;0,796124;-0,113624;-0,201450;0,809749;-0,181605;-0,197172;0,797767;-0,192896;-0,291862;1,631773;-0,118360;-0,143329;0,808690;-0,057355;-0,049068;0,914455;-0,276634;-0,022882;0,740654;0,044943;0,122553;0,887929;-0,280001;0,186365;0,674202;0,161065;0,126510;0,713797;-0,111115;0,181072;0,689846;0,204458;0,126199;0,665715;-0,057641;0,192018;0,702440;0,206484;0,121748;0,679506;-0,047096;0,184571;0,751731;0,187230;0,122377;0,691216;-0,061083;0,180153;0,756656;-0,026432;0,129611;0,365647;-0,093618;0,128168;0,329804;0,000733;0,124055;0,319221;-0,071689;0,128695;0,331160;-0,000626;0,123916;0,318862;-0,065498;0,129298;0,332712;-0,005203;0,124006;0,319096;-0,070838;0,128688;0,331143;0,018885;0,123234;0,317107;-0,034073;0,124187;0,319561
00:00:00.178;5;6;6;5;5;114,943946;170,255569;170,698414;93,956479;157,842162;65,610877;-133,897630;168,574641;169,164609;159,490189;28,494624;16,995447;14,268728;-45,748402;-0,117950;-0,225363;1,034316;-0,103939;-0,228791;0,896220;-0,100850;-0,230734;0,903425;-0,097777;-0,233103;0,911101;-0,125307;-0,223504;0,869969;-0,137039;-0,221886;0,863668;-0,150183;-0,221470;0,856630;-0,122113;-0,216796;0,871437;-0,195408;-0,212157;0,858398;-0,207641;-0,313661;1,753653;-0,127894;-0,154204;0,870049;-0,061394;-0,052835;0,984646;-0,298010;-0,025151;0,797475;0,049458;0,131806;0,954454;-0,301001;0,200471;0,725232;0,174104;0,135890;0,766718;-0,119495;0,195048;0,742050;0,220022;0,135963;0,716215;-0,061365;0,206749;0,756536;0,222226;0,131378;0,731129;-0,050443;0,198774;0,809575;0,201629;0,131714;0,743641;-0,065303;0,193898;0,813127;-0,027424;0,138712;0,391320;-0,100362;0,137580;0,354023;0,000477;0,133682;0,343994;-0,076568;0,138330;0,355954;-0,000185;0,133591;0,343760;-0,069208;0,138450;0,356263;-0,004943;0,133923;0,344613;-0,075704;0,138598;0,356643;0,020225;0,132876;0,341920;-0,037580;0,134176;0,345265
00:00:00.225;6;6;6;6;5;114,915505;170,124710;170,511517;93,709618;157,288629;65,101109;-133,912535;168,544079;169,276705;159,608831;28,083322;-16,960771;15,118367;-44,539964;-0,116872;-0,222365;1,020555;-0,109068;-0,238649;0,937093;-0,105645;-0,241203;0,944576;-0,102243;-0,243547;0,952716;-0,131340;-0,233287;0,910230;-0,143565;-0,232076;0,903335;-0,157238;-0,231177;0,896310;-0,127632;-0,226772;0,911534;-0,204459;-0,221984;0,898159;-0,219303;-0,330961;1,850374;-0,134091;-0,161272;0,909932;-0,064062;-0,055320;1,030970;-0,312418;-0,026626;0,834409;0,052987;0,137773;0,997345;-0,314650;0,209639;0,758401;0,182828;0,142291;0,800067;-0,124942;0,204133;0,775982;0,230139;0,142310;0,749040;-0,063674;0,215942;0,790298;0,232715;0,137512;0,763984;-0,052076;0,208441;0,846824;0,211083;0,137846;0,778066;-0,068654;0,203083;0,850882;-0,027842;0,144751;0,408358;-0,104815;0,144105;0,370815;0,000088;0,139940;0,360096;-0,080038;0,145137;0,373470;0,000102;0,139881;0,359944;-0,071885;0,144943;0,372971;-0,004552;0,140368;0,361198;-0,078697;0,145583;0,374618;0,021136;0,139416;0,358748;-0,039859;0,140669;0,361972
00:00:00.272;7;6;6;6;5;114,812077;170,251728;170,371225;93,559200;157,328236;65,226146;-134,014417;168,695442;169,369055;159,358881;27,727799;16,293639;15,726826;45,353919;-0,116171;-0,220416;1,011611;-0,112444;-0,245145;0,964011;-0,108841;-0,248187;0,972025;-0,105221;-0,250515;0,980465;-0,135312;-0,239735;0,936749;-0,147863;-0,238790;0,929467;-0,161824;-0,237486;0,922101;-0,131316;-0,233430;0,938297;-0,210422;-0,228458;0,924353;-0,184008;-0,277601;1,552043;-0,138171;-0,165929;0,936206;-0,065732;-0,056880;1,060030;-0,321783;-0,027585;0,858416;0,055320;0,141748;1,025924;-0,323523;0,215599;0,779960;0,188499;0,146452;0,821743;-0,128061;0,210130;0,798389;0,237176;0,146436;0,770376;-0,064258;0,222109;0,812944;0,239426;0,141435;0,784989;-0,053138;0,214724;0,871036;0,217516;0,142185;0,799743;-0,070309;0,209053;0,875424;-0,027752;0,148057;0,417683;-0,107610;0,148211;0,381380;-0,000387;0,144007;0,370562;-0,082218;0,149426;0,384506;0,000288;0,143969;0,370464;-0,073626;0,149164;0,383831;-0,004297;0,144558;0,371979;-0,080582;0,149580;0,384902;0,021467;0,143395;0,368986;-0,041724;0,145433;0,374232
00:00:00.319;8;6;6;6;5;114,799104;170,496482;170,363888;93,144922;157,333358;65,352096;-134,059000;168,842122;169,521257;159,339285;28,664658;15,333672;15,983532;-44,079452;-0,116241;-0,219073;1,005447;-0,114638;-0,249368;0,981507;-0,110957;-0,252233;0,990216;-0,107156;-0,255043;0,998502;-0,137844;-0,243837;0,953637;-0,150656;-0,243154;0,946454;-0,165295;-0,241497;0,938516;-0,133711;-0,237758;0,955693;-0,214298;-0,232666;0,941380;-0,200950;-0,303015;1,694128;-0,141331;-0,168894;0,952934;-0,066795;-0,057874;1,078570;-0,327608;-0,028186;0,873320;0,056797;0,144848;1,043801;-0,328823;0,219006;0,793974;0,192185;0,149156;0,835833;-0,129921;0,214228;0,811903;0,241750;0,149117;0,784244;-0,064637;0,226117;0,827664;0,244150;0,143922;0,798293;-0,053891;0,219068;0,887823;0,221698;0,145006;0,813833;-0,071328;0,213290;0,890675;-0,027694;0,150205;0,423744;-0,109395;0,151152;0,388947;-0,000914;0,146379;0,376666;-0,083412;0,151805;0,390629;0,000408;0,146354;0,376601;-0,074757;0,151907;0,390890;-0,004121;0,146873;0,377936;-0,081662;0,151905;0,390886;0,021519;0,146389;0,376691;-0,043162;0,148530;0,382201
00:00:00.364;9;6;6;6;5;114,819439;170,814543;170,524721;92,935836;157,583245;65,600875;-134,028393;168,987599;169,650783;159,205666;28,994137;15,828308;16,018025;-43,303848;-0,116286;-0,218200;1,001441;-0,116064;-0,252112;0,992879;-0,112372;-0,254951;1,002390;-0,108490;-0,258166;1,010927;-0,139998;-0,246414;0,964264;-0,152472;-0,245991;0,957495;-0,167551;-0,244104;0,949185;-0,135219;-0,240484;0,966651;-0,216817;-0,235401;0,952447;-0,214330;-0,323102;1,806433;-0,143385;-0,170821;0,963807;-0,067465;-0,058502;1,090270;-0,331131;-0,028553;0,882308;0,057201;0,146395;1,056470;-0,332268;0,221221;0,803083;0,194662;0,150977;0,845342;-0,131607;0,216892;0,820687;0,244723;0,150860;0,793259;-0,065452;0,229009;0,838281;0,247328;0,145602;0,807291;-0,054275;0,221979;0,896985;0,224894;0,146839;0,822992;-0,072542;0,216128;0,900939;-0,027656;0,151602;0,427684;-0,110555;0,153063;0,393865;-0,001475;0,147785;0,380283;-0,084337;0,153624;0,395309;0,000265;0,147904;0,380591;-0,076020;0,153826;0,395829;-0,004225;0,148242;0,381459;-0,082970;0,153689;0,395476;0,021017;0,147655;0,379949;-0,044549;0,150543;0,387380
00:00:00.413;10;6;5;6;5;115,134588;170,922821;170,445871;92,761195;157,796770;65,765652;-134,759631;169,102211;169,716503;159,061220;-4,979084;-6,497311;16,431646;42,888910;-0,116316;-0,217633;0,998836;-0,117073;-0,254074;1,000972;-0,113370;-0,256896;1,011004;-0,109507;-0,259962;1,020402;-0,141399;-0,248089;0,971172;-0,153652;-0,247834;0,964672;-0,168956;-0,245709;0,955770;-0,136150;-0,242169;0,973423;-0,218455;-0,237179;0,959640;-0,222321;-0,333404;1,864032;-0,144720;-0,172074;0,970874;-0,067879;-0,058892;1,097526;-0,333683;-0,028815;0,888850;0,057445;0,147352;1,064356;-0,334508;0,222660;0,809004;0,196191;0,152098;0,851172;-0,132758;0,218716;0,826746;0,246655;0,151993;0,799118;-0,058770;0,205648;0,752783;0,249501;0,146757;0,813489;-0,054462;0,223610;0,901890;0,226971;0,148031;0,828945;-0,073274;0,217804;0,906910;-0,028386;0,156728;0,442144;-0,110885;0,154034;0,396363;-0,002287;0,148970;0,383334;-0,085093;0,154670;0,398001;-0,000267;0,148640;0,382484;-0,077463;0,154938;0,398689;-0,004744;0,149403;0,384448;-0,084358;0,154576;0,397759;0,019999;0,148206;0,381367;-0,046171;0,151987;0,391097
